GCC SIN
=======
 
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.372166 seconds
# 268.697286 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20195.61914	   174.81960
    50	  3202.81431	    25.67253
   100	  1336.72898	     9.79947
   150	   732.39677	     5.06977
   200	   476.11403	     3.10724
   250	   345.28695	     2.10832
   300	   256.11986	     1.49986
   350	   198.08326	     1.12135
   400	   160.14085	     0.86823
   450	   130.48710	     0.68856
   500	   109.84268	     0.55887
   550	    92.98020	     0.46087
   600	    79.23277	     0.38472
   650	    68.35553	     0.32462
   700	    60.29808	     0.27900
   750	    52.90401	     0.24021
   800	    47.14536	     0.20903
   850	    41.32445	     0.18201
   900	    36.63585	     0.16004
   950	    32.30208	     0.14043
  1000	    29.62963	     0.12610
  1050	    26.47086	     0.11244
  1100	    23.81590	     0.10057
  1150	    21.57442	     0.09058
  1200	    19.35771	     0.08160
  1250	    17.62819	     0.07401
  1300	    16.04386	     0.06709
  1350	    14.59852	     0.06102
  1400	    13.37908	     0.05594
  1450	    12.05723	     0.05075
  1500	    11.19572	     0.04700
  1550	    10.13121	     0.04295
  1600	     9.37147	     0.03972
  1650	     8.53951	     0.03650
  1700	     7.87980	     0.03371
  1750	     7.20933	     0.03107
  1800	     6.66829	     0.02887
  1850	     6.06110	     0.02659
  1900	     5.66655	     0.02493
  1950	     5.14872	     0.02295
  2000	     4.78956	     0.02138
  2050	     4.42997	     0.01997
  2100	     4.12898	     0.01869
  2150	     3.76839	     0.01735
  2200	     3.46185	     0.01616
  2250	     3.26591	     0.01532
  2300	     2.95928	     0.01415
  2350	     2.74228	     0.01337
  2400	     2.52774	     0.01240
  2450	     2.33975	     0.01156
  2500	     2.15179	     0.01084
  2550	     2.01581	     0.01023
  2600	     1.88914	     0.00966
  2650	     1.73527	     0.00902
  2700	     1.62543	     0.00851
  2750	     1.50725	     0.00802
  2800	     1.39787	     0.00753
  2850	     1.30828	     0.00712
  2900	     1.21034	     0.00666
  2950	     1.11537	     0.00626
  3000	     1.04784	     0.00597
  3050	     0.98306	     0.00565
  3100	     0.90297	     0.00525
  3150	     0.83769	     0.00497
  3200	     0.78071	     0.00470
  3250	     0.72680	     0.00441
  3300	     0.67393	     0.00415
  3350	     0.63472	     0.00397
  3400	     0.59526	     0.00376
  3450	     0.55246	     0.00352
  3500	     0.51477	     0.00337
  3550	     0.47411	     0.00314
  3600	     0.44584	     0.00300
  3650	     0.42338	     0.00286
  3700	     0.38793	     0.00266
  3750	     0.36417	     0.00257
  3800	     0.34464	     0.00244
  3850	     0.31930	     0.00230
  3900	     0.29704	     0.00217
  3950	     0.28416	     0.00207
  4000	     0.26092	     0.00195
  4050	     0.24256	     0.00186
  4100	     0.22736	     0.00175
  4150	     0.20948	     0.00165
  4200	     0.19663	     0.00157
  4250	     0.18558	     0.00150
  4300	     0.17275	     0.00141
  4350	     0.15888	     0.00132
  4400	     0.14765	     0.00125
  4450	     0.14328	     0.00122
  4500	     0.13362	     0.00115
  4550	     0.12114	     0.00108
  4600	     0.11492	     0.00103
  4650	     0.10870	     0.00098
  4700	     0.10311	     0.00097
  4750	     0.09502	     0.00091
  4800	     0.08873	     0.00085
  4850	     0.08420	     0.00082
  4900	     0.07664	     0.00074
  4950	     0.07427	     0.00072
# extra	     0.02354
=======
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
