ICC INTRISICS
=============
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.276876 seconds
# 361.172417 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20530.14111	   883.16404
    50	  3336.44238	   134.51685
   100	  1326.20369	    51.46438
   150	   743.56593	    27.60609
   200	   486.11445	    17.37912
   250	   334.70131	    11.80552
   300	   256.57712	     8.74707
   350	   199.46030	     6.68460
   400	   162.82338	     5.32876
   450	   132.06112	     4.29412
   500	   110.60790	     3.55552
   550	    94.10711	     2.99431
   600	    79.83122	     2.53733
   650	    69.10264	     2.18580
   700	    60.67042	     1.90679
   750	    52.97332	     1.66684
   800	    46.53495	     1.46765
   850	    41.72107	     1.31022
   900	    36.24649	     1.15541
   950	    32.63946	     1.04020
  1000	    29.33294	     0.93804
  1050	    26.50383	     0.85022
  1100	    23.75135	     0.76917
  1150	    21.34769	     0.69825
  1200	    19.26934	     0.63637
  1250	    17.64373	     0.58508
  1300	    15.98083	     0.53587
  1350	    14.62190	     0.49398
  1400	    13.33124	     0.45516
  1450	    12.05963	     0.41829
  1500	    10.94278	     0.38544
  1550	    10.12835	     0.35907
  1600	     9.20037	     0.33174
  1650	     8.39681	     0.30749
  1700	     7.72183	     0.28636
  1750	     7.08321	     0.26656
  1800	     6.54029	     0.24915
  1850	     6.06093	     0.23347
  1900	     5.57691	     0.21815
  1950	     5.11293	     0.20362
  2000	     4.68807	     0.19018
  2050	     4.34374	     0.17867
  2100	     3.99875	     0.16741
  2150	     3.71707	     0.15771
  2200	     3.47595	     0.14909
  2250	     3.19919	     0.13990
  2300	     2.93919	     0.13123
  2350	     2.72443	     0.12369
  2400	     2.51544	     0.11641
  2450	     2.32991	     0.10978
  2500	     2.18283	     0.10416
  2550	     2.02538	     0.09840
  2600	     1.89347	     0.09333
  2650	     1.74035	     0.08781
  2700	     1.61012	     0.08292
  2750	     1.47762	     0.07801
  2800	     1.42897	     0.07536
  2850	     1.31088	     0.07093
  2900	     1.20591	     0.06687
  2950	     1.14324	     0.06402
  3000	     1.04506	     0.06020
  3050	     0.98304	     0.05744
  3100	     0.90692	     0.05429
  3150	     0.84664	     0.05163
  3200	     0.77870	     0.04876
  3250	     0.73658	     0.04670
  3300	     0.67789	     0.04413
  3350	     0.64522	     0.04241
  3400	     0.59725	     0.04021
  3450	     0.56185	     0.03844
  3500	     0.51490	     0.03628
  3550	     0.47787	     0.03447
  3600	     0.45891	     0.03331
  3650	     0.42304	     0.03155
  3700	     0.38846	     0.02983
  3750	     0.36773	     0.02864
  3800	     0.34254	     0.02728
  3850	     0.31447	     0.02580
  3900	     0.30116	     0.02493
  3950	     0.27497	     0.02352
  4000	     0.26076	     0.02262
  4050	     0.24187	     0.02152
  4100	     0.23147	     0.02080
