# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 20000000
#
# 67.461659 seconds
# 296.464694 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20740.66553	    12.17672
    50	  3317.95333	     1.79904
   100	  1345.90260	     0.67861
   150	   747.44626	     0.35349
   200	   484.72996	     0.21640
   250	   342.67541	     0.14562
   300	   256.99408	     0.10444
   350	   200.49925	     0.07832
   400	   160.56426	     0.06066
   450	   131.85592	     0.04825
   500	   109.79834	     0.03913
   550	    92.91798	     0.03231
   600	    79.41558	     0.02703
   650	    68.47881	     0.02288
   700	    59.49071	     0.01956
   750	    52.18054	     0.01688
   800	    45.90006	     0.01467
   850	    40.62073	     0.01284
   900	    36.04098	     0.01130
   950	    32.17192	     0.01000
  1000	    28.77819	     0.00890
  1050	    25.84688	     0.00795
  1100	    23.23793	     0.00713
  1150	    20.96333	     0.00642
  1200	    18.95708	     0.00580
  1250	    17.19161	     0.00525
  1300	    15.59508	     0.00477
  1350	    14.18750	     0.00435
  1400	    12.92373	     0.00397
  1450	    11.78304	     0.00363
  1500	    10.76694	     0.00332
  1550	     9.84673	     0.00305
  1600	     9.01842	     0.00280
  1650	     8.27915	     0.00258
  1700	     7.60353	     0.00238
  1750	     6.98286	     0.00220
  1800	     6.42466	     0.00203
  1850	     5.91834	     0.00188
  1900	     5.44395	     0.00175
  1950	     5.01645	     0.00163
  2000	     4.61910	     0.00151
  2050	     4.25995	     0.00141
  2100	     3.93089	     0.00132
  2150	     3.63210	     0.00123
  2200	     3.35488	     0.00115
  2250	     3.10222	     0.00107
  2300	     2.86694	     0.00100
  2350	     2.65428	     0.00094
  2400	     2.46015	     0.00088
  2450	     2.27848	     0.00082
  2500	     2.11352	     0.00077
  2550	     1.95994	     0.00072
  2600	     1.81959	     0.00068
  2650	     1.69056	     0.00064
  2700	     1.57060	     0.00060
  2750	     1.46245	     0.00056
  2800	     1.36112	     0.00053
  2850	     1.26731	     0.00050
  2900	     1.17728	     0.00047
  2950	     1.09483	     0.00044
  3000	     1.01688	     0.00042
  3050	     0.94648	     0.00039
  3100	     0.88071	     0.00037
  3150	     0.81916	     0.00035
  3200	     0.76300	     0.00033
  3250	     0.71066	     0.00031
  3300	     0.66147	     0.00030
  3350	     0.61677	     0.00028
  3400	     0.57466	     0.00026
  3450	     0.53607	     0.00025
  3500	     0.49985	     0.00024
  3550	     0.46603	     0.00022
  3600	     0.43548	     0.00021
  3650	     0.40648	     0.00020
  3700	     0.37970	     0.00019
  3750	     0.35446	     0.00018
  3800	     0.33082	     0.00017
  3850	     0.30875	     0.00016
  3900	     0.28811	     0.00015
  3950	     0.26919	     0.00014
  4000	     0.25142	     0.00014
  4050	     0.23530	     0.00013
  4100	     0.21969	     0.00012
  4150	     0.20542	     0.00012
  4200	     0.19198	     0.00011
  4250	     0.17955	     0.00011
  4300	     0.16805	     0.00010
  4350	     0.15730	     0.00010
  4400	     0.14717	     0.00009
  4450	     0.13805	     0.00009
  4500	     0.12921	     0.00008
  4550	     0.12118	     0.00008
  4600	     0.11313	     0.00007
  4650	     0.10589	     0.00007
  4700	     0.09922	     0.00007
  4750	     0.09287	     0.00006
  4800	     0.08694	     0.00006
  4850	     0.08141	     0.00006
  4900	     0.07630	     0.00005
  4950	     0.07150	     0.00005
# extra	     0.01326
