# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  5000000
#
# 16.922451 seconds
# 295.465479 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20367.77930	    24.87055
    50	  3260.01709	     3.67141
   100	  1325.67943	     1.38574
   150	   738.84335	     0.72169
   200	   481.24728	     0.44183
   250	   341.59709	     0.29725
   300	   256.61668	     0.21290
   350	   200.87416	     0.15955
   400	   161.33501	     0.12345
   450	   132.43377	     0.09795
   500	   110.77611	     0.07942
   550	    93.73548	     0.06544
   600	    80.23844	     0.05466
   650	    69.27942	     0.04620
   700	    60.31407	     0.03944
   750	    52.89849	     0.03398
   800	    46.64594	     0.02950
   850	    41.25475	     0.02577
   900	    36.64221	     0.02265
   950	    32.71870	     0.02001
  1000	    29.31137	     0.01778
  1050	    26.35738	     0.01587
  1100	    23.72155	     0.01421
  1150	    21.39662	     0.01278
  1200	    19.36912	     0.01153
  1250	    17.58038	     0.01044
  1300	    15.93997	     0.00947
  1350	    14.48788	     0.00861
  1400	    13.20689	     0.00786
  1450	    12.04381	     0.00719
  1500	    11.00463	     0.00659
  1550	    10.07244	     0.00605
  1600	     9.21704	     0.00557
  1650	     8.45684	     0.00513
  1700	     7.74770	     0.00474
  1750	     7.11199	     0.00438
  1800	     6.55220	     0.00406
  1850	     6.02799	     0.00376
  1900	     5.54781	     0.00349
  1950	     5.12217	     0.00325
  2000	     4.72222	     0.00302
  2050	     4.35085	     0.00282
  2100	     4.01995	     0.00263
  2150	     3.71486	     0.00245
  2200	     3.43550	     0.00229
  2250	     3.18495	     0.00214
  2300	     2.94600	     0.00200
  2350	     2.72076	     0.00187
  2400	     2.52297	     0.00176
  2450	     2.33462	     0.00164
  2500	     2.17021	     0.00154
  2550	     2.01240	     0.00145
  2600	     1.86432	     0.00136
  2650	     1.72953	     0.00128
  2700	     1.60937	     0.00120
  2750	     1.49785	     0.00113
  2800	     1.38837	     0.00106
  2850	     1.29112	     0.00100
  2900	     1.20267	     0.00094
  2950	     1.11732	     0.00089
  3000	     1.03997	     0.00084
  3050	     0.96641	     0.00079
  3100	     0.89938	     0.00075
  3150	     0.83874	     0.00071
  3200	     0.78057	     0.00067
  3250	     0.72681	     0.00063
  3300	     0.67737	     0.00060
  3350	     0.63290	     0.00056
  3400	     0.58816	     0.00053
  3450	     0.54823	     0.00050
  3500	     0.51201	     0.00048
  3550	     0.47740	     0.00045
  3600	     0.44601	     0.00043
  3650	     0.41569	     0.00040
  3700	     0.38904	     0.00038
  3750	     0.36316	     0.00036
  3800	     0.33957	     0.00034
  3850	     0.31732	     0.00032
  3900	     0.29578	     0.00031
  3950	     0.27669	     0.00029
  4000	     0.25810	     0.00028
  4050	     0.24164	     0.00026
  4100	     0.22570	     0.00025
  4150	     0.21145	     0.00024
  4200	     0.19779	     0.00022
  4250	     0.18476	     0.00021
  4300	     0.17293	     0.00020
  4350	     0.16164	     0.00019
  4400	     0.15105	     0.00018
  4450	     0.14204	     0.00017
  4500	     0.13256	     0.00016
  4550	     0.12415	     0.00015
  4600	     0.11631	     0.00015
  4650	     0.10889	     0.00014
  4700	     0.10233	     0.00013
  4750	     0.09585	     0.00013
  4800	     0.08955	     0.00012
  4850	     0.08406	     0.00011
  4900	     0.07842	     0.00011
  4950	     0.07345	     0.00010
# extra	     0.01889
