GCC - RNG
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.478491 seconds
# 208.990362 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20473.19531	   175.74249
    50	  3233.78278	    25.76640
   100	  1327.62490	     9.75811
   150	   745.23269	     5.10246
   200	   478.09263	     3.10650
   250	   341.81105	     2.09757
   300	   255.02794	     1.49779
   350	   201.24483	     1.12646
   400	   160.59615	     0.87075
   450	   131.76343	     0.69006
   500	   111.03295	     0.56076
   550	    94.81074	     0.46367
   600	    80.63787	     0.38607
   650	    68.96747	     0.32512
   700	    61.04123	     0.27887
   750	    52.97443	     0.23996
   800	    47.13139	     0.20888
   850	    41.73834	     0.18244
   900	    36.89036	     0.16047
   950	    33.03934	     0.14163
  1000	    29.27977	     0.12535
  1050	    26.12347	     0.11127
  1100	    23.78827	     0.10017
  1150	    21.64612	     0.09024
  1200	    19.35489	     0.08102
  1250	    17.64761	     0.07341
  1300	    16.14098	     0.06695
  1350	    14.42611	     0.06049
  1400	    13.21475	     0.05527
  1450	    12.04531	     0.05064
  1500	    11.06369	     0.04668
  1550	    10.11416	     0.04275
  1600	     9.28424	     0.03946
  1650	     8.53184	     0.03636
  1700	     7.85394	     0.03364
  1750	     7.15879	     0.03091
  1800	     6.62313	     0.02877
  1850	     6.04279	     0.02648
  1900	     5.68307	     0.02487
  1950	     5.19987	     0.02307
  2000	     4.73998	     0.02134
  2050	     4.40729	     0.01999
  2100	     4.04239	     0.01854
  2150	     3.73940	     0.01728
  2200	     3.42547	     0.01616
  2250	     3.17056	     0.01504
  2300	     2.94992	     0.01409
  2350	     2.75259	     0.01327
  2400	     2.55892	     0.01245
  2450	     2.33495	     0.01165
  2500	     2.19608	     0.01096
  2550	     2.03753	     0.01030
  2600	     1.88531	     0.00967
  2650	     1.73852	     0.00903
  2700	     1.61634	     0.00853
  2750	     1.49130	     0.00800
  2800	     1.39694	     0.00756
  2850	     1.29330	     0.00704
  2900	     1.20618	     0.00666
  2950	     1.11906	     0.00630
  3000	     1.03385	     0.00587
  3050	     0.97421	     0.00561
  3100	     0.89558	     0.00524
  3150	     0.83256	     0.00497
  3200	     0.78308	     0.00475
  3250	     0.73191	     0.00447
  3300	     0.67832	     0.00418
  3350	     0.64115	     0.00401
  3400	     0.58135	     0.00372
  3450	     0.55441	     0.00357
  3500	     0.50801	     0.00332
  3550	     0.48597	     0.00321
  3600	     0.44328	     0.00299
  3650	     0.40771	     0.00282
  3700	     0.38839	     0.00269
  3750	     0.35871	     0.00251
  3800	     0.33800	     0.00241
  3850	     0.31215	     0.00227
  3900	     0.29412	     0.00215
  3950	     0.27454	     0.00205
  4000	     0.25580	     0.00194
  4050	     0.24221	     0.00186
  4100	     0.22246	     0.00174
  4150	     0.20901	     0.00166
  4200	     0.19844	     0.00160
  4250	     0.18146	     0.00149
  4300	     0.17057	     0.00142
  4350	     0.15631	     0.00131
  4400	     0.15116	     0.00130
  4450	     0.14118	     0.00121
  4500	     0.13087	     0.00115
  4550	     0.12314	     0.00109
  4600	     0.11541	     0.00105
  4650	     0.10776	     0.00099
  4700	     0.09956	     0.00094
  4750	     0.09391	     0.00089
  4800	     0.08857	     0.00085
  4850	     0.08292	     0.00081
  4900	     0.07718	     0.00077
  4950	     0.07331	     0.00074
# extra	     0.02353
==========================
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 4.504381 seconds
# 222.006101 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20379.91406	    55.44526
    50	  3278.94559	     8.19590
   100	  1329.52580	     3.08669
   150	   740.04049	     1.60776
   200	   482.32425	     0.98521
   250	   341.93481	     0.66264
   300	   257.96701	     0.47545
   350	   201.34116	     0.35578
   400	   161.25400	     0.27479
   450	   133.07309	     0.21859
   500	   111.26356	     0.17709
   550	    93.83203	     0.14572
   600	    80.69542	     0.12188
   650	    69.60184	     0.10300
   700	    60.53373	     0.08790
   750	    53.14486	     0.07575
   800	    46.87288	     0.06575
   850	    41.47553	     0.05743
   900	    36.79832	     0.05043
   950	    32.79413	     0.04456
  1000	    29.50949	     0.03963
  1050	    26.42825	     0.03532
  1100	    23.84328	     0.03167
  1150	    21.51752	     0.02847
  1200	    19.50515	     0.02572
  1250	    17.64436	     0.02326
  1300	    16.01066	     0.02112
  1350	    14.58858	     0.01923
  1400	    13.27898	     0.01754
  1450	    12.11576	     0.01604
  1500	    11.03259	     0.01470
  1550	    10.11485	     0.01351
  1600	     9.28859	     0.01245
  1650	     8.50829	     0.01146
  1700	     7.79191	     0.01059
  1750	     7.19192	     0.00979
  1800	     6.57921	     0.00905
  1850	     6.07572	     0.00842
  1900	     5.60351	     0.00781
  1950	     5.14042	     0.00725
  2000	     4.74538	     0.00676
  2050	     4.39913	     0.00630
  2100	     4.04430	     0.00585
  2150	     3.73637	     0.00547
  2200	     3.45453	     0.00511
  2250	     3.19248	     0.00478
  2300	     2.96270	     0.00447
  2350	     2.72561	     0.00418
  2400	     2.53419	     0.00393
  2450	     2.34457	     0.00368
  2500	     2.17852	     0.00346
  2550	     2.01157	     0.00324
  2600	     1.87167	     0.00304
  2650	     1.73409	     0.00286
  2700	     1.61221	     0.00269
  2750	     1.49940	     0.00253
  2800	     1.38990	     0.00238
  2850	     1.29312	     0.00224
  2900	     1.20222	     0.00211
  2950	     1.11980	     0.00199
  3000	     1.04310	     0.00188
  3050	     0.96445	     0.00177
  3100	     0.90168	     0.00167
  3150	     0.83826	     0.00158
  3200	     0.78002	     0.00148
  3250	     0.72875	     0.00141
  3300	     0.67960	     0.00133
  3350	     0.63133	     0.00125
  3400	     0.58845	     0.00118
  3450	     0.55039	     0.00112
  3500	     0.51284	     0.00106
  3550	     0.47673	     0.00100
  3600	     0.44578	     0.00095
  3650	     0.41629	     0.00090
  3700	     0.38721	     0.00085
  3750	     0.36130	     0.00080
  3800	     0.33931	     0.00076
  3850	     0.31653	     0.00073
  3900	     0.29425	     0.00068
  3950	     0.27489	     0.00065
  4000	     0.25770	     0.00062
  4050	     0.24025	     0.00058
  4100	     0.22476	     0.00055
  4150	     0.21000	     0.00053
  4200	     0.19605	     0.00050
  4250	     0.18361	     0.00047
  4300	     0.17207	     0.00045
  4350	     0.16017	     0.00042
  4400	     0.14949	     0.00040
  4450	     0.14014	     0.00038
  4500	     0.13173	     0.00036
  4550	     0.12324	     0.00035
  4600	     0.11455	     0.00033
  4650	     0.10728	     0.00031
  4700	     0.10077	     0.00030
  4750	     0.09451	     0.00028
  4800	     0.08860	     0.00027
  4850	     0.08259	     0.00025
  4900	     0.07771	     0.00024
  4950	     0.07249	     0.00023
# extra	     0.02220
==========================
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 45.543789 seconds
# 219.568908 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20598.38379	    17.48046
    50	  3322.04548	     2.57992
   100	  1348.92095	     0.97191
   150	   751.51299	     0.50724
   200	   486.93817	     0.31061
   250	   345.16007	     0.20928
   300	   258.73531	     0.15007
   350	   201.66235	     0.11244
   400	   161.96336	     0.08709
   450	   132.98376	     0.06921
   500	   111.03540	     0.05612
   550	    93.87562	     0.04626
   600	    80.43605	     0.03869
   650	    69.46462	     0.03270
   700	    60.49826	     0.02795
   750	    52.90209	     0.02406
   800	    46.67539	     0.02090
   850	    41.28935	     0.01826
   900	    36.68843	     0.01605
   950	    32.74880	     0.01419
  1000	    29.30214	     0.01261
  1050	    26.31317	     0.01125
  1100	    23.71677	     0.01008
  1150	    21.39485	     0.00906
  1200	    19.35272	     0.00818
  1250	    17.54034	     0.00740
  1300	    15.93435	     0.00672
  1350	    14.47456	     0.00612
  1400	    13.19330	     0.00558
  1450	    12.03164	     0.00510
  1500	    10.99183	     0.00467
  1550	    10.03972	     0.00429
  1600	     9.20587	     0.00394
  1650	     8.42677	     0.00363
  1700	     7.73965	     0.00335
  1750	     7.10756	     0.00310
  1800	     6.53190	     0.00286
  1850	     6.01894	     0.00265
  1900	     5.53393	     0.00246
  1950	     5.10254	     0.00229
  2000	     4.69724	     0.00213
  2050	     4.33161	     0.00198
  2100	     3.99958	     0.00185
  2150	     3.69637	     0.00173
  2200	     3.41422	     0.00161
  2250	     3.15635	     0.00151
  2300	     2.91903	     0.00141
  2350	     2.69791	     0.00132
  2400	     2.50279	     0.00124
  2450	     2.31651	     0.00116
  2500	     2.14682	     0.00109
  2550	     1.99142	     0.00102
  2600	     1.84723	     0.00096
  2650	     1.71304	     0.00090
  2700	     1.59119	     0.00085
  2750	     1.47756	     0.00080
  2800	     1.37154	     0.00075
  2850	     1.27482	     0.00071
  2900	     1.18567	     0.00067
  2950	     1.10150	     0.00063
  3000	     1.02566	     0.00059
  3050	     0.95438	     0.00056
  3100	     0.88710	     0.00053
  3150	     0.82583	     0.00050
  3200	     0.76905	     0.00047
  3250	     0.71555	     0.00044
  3300	     0.66701	     0.00042
  3350	     0.62118	     0.00040
  3400	     0.57913	     0.00037
  3450	     0.53940	     0.00035
  3500	     0.50312	     0.00033
  3550	     0.47010	     0.00032
  3600	     0.43838	     0.00030
  3650	     0.40900	     0.00028
  3700	     0.38206	     0.00027
  3750	     0.35654	     0.00025
  3800	     0.33292	     0.00024
  3850	     0.31069	     0.00023
  3900	     0.29043	     0.00022
  3950	     0.27098	     0.00021
  4000	     0.25312	     0.00019
  4050	     0.23654	     0.00018
  4100	     0.22107	     0.00017
  4150	     0.20672	     0.00017
  4200	     0.19321	     0.00016
  4250	     0.18061	     0.00015
  4300	     0.16913	     0.00014
  4350	     0.15807	     0.00013
  4400	     0.14793	     0.00013
  4450	     0.13842	     0.00012
  4500	     0.12971	     0.00011
  4550	     0.12144	     0.00011
  4600	     0.11387	     0.00010
  4650	     0.10639	     0.00010
  4700	     0.09968	     0.00009
  4750	     0.09344	     0.00009
  4800	     0.08742	     0.00008
  4850	     0.08185	     0.00008
  4900	     0.07672	     0.00008
  4950	     0.07188	     0.00007
# extra	     0.01598
==========================
GCC - MT
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.352461 seconds
# 283.719654 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20134.65234	   174.44700
    50	  3276.07785	    25.91636
   100	  1316.43210	     9.72539
   150	   738.11204	     5.08455
   200	   484.41619	     3.12748
   250	   341.65137	     2.09488
   300	   254.89873	     1.49877
   350	   202.17706	     1.12770
   400	   161.21618	     0.87074
   450	   135.30496	     0.69583
   500	   111.98024	     0.56221
   550	    94.47887	     0.46238
   600	    79.92820	     0.38519
   650	    69.05708	     0.32487
   700	    61.01041	     0.27862
   750	    53.03851	     0.24021
   800	    47.17715	     0.20826
   850	    41.57100	     0.18232
   900	    36.93185	     0.16015
   950	    33.06263	     0.14155
  1000	    29.38074	     0.12569
  1050	    26.28806	     0.11193
  1100	    23.47546	     0.09984
  1150	    21.37882	     0.09027
  1200	    19.59876	     0.08173
  1250	    17.77867	     0.07409
  1300	    15.90602	     0.06660
  1350	    14.57878	     0.06103
  1400	    13.35543	     0.05560
  1450	    12.12682	     0.05089
  1500	    11.02899	     0.04658
  1550	    10.13791	     0.04286
  1600	     9.23176	     0.03937
  1650	     8.41904	     0.03618
  1700	     7.81092	     0.03361
  1750	     7.19978	     0.03109
  1800	     6.52256	     0.02851
  1850	     6.05578	     0.02658
  1900	     5.56788	     0.02473
  1950	     5.13186	     0.02295
  2000	     4.71740	     0.02132
  2050	     4.36895	     0.01988
  2100	     4.01766	     0.01846
  2150	     3.70792	     0.01725
  2200	     3.44239	     0.01618
  2250	     3.18940	     0.01513
  2300	     2.95139	     0.01411
  2350	     2.72799	     0.01325
  2400	     2.51009	     0.01230
  2450	     2.34532	     0.01163
  2500	     2.16391	     0.01082
  2550	     1.99121	     0.01011
  2600	     1.88816	     0.00964
  2650	     1.74335	     0.00907
  2700	     1.61375	     0.00847
  2750	     1.51174	     0.00806
  2800	     1.40946	     0.00758
  2850	     1.31677	     0.00720
  2900	     1.20770	     0.00669
  2950	     1.11294	     0.00626
  3000	     1.04609	     0.00597
  3050	     0.96719	     0.00557
  3100	     0.89977	     0.00527
  3150	     0.83842	     0.00497
  3200	     0.78997	     0.00476
  3250	     0.72756	     0.00444
  3300	     0.66872	     0.00412
  3350	     0.63154	     0.00396
  3400	     0.59210	     0.00377
  3450	     0.55454	     0.00358
  3500	     0.50590	     0.00333
  3550	     0.47811	     0.00319
  3600	     0.44597	     0.00300
  3650	     0.41580	     0.00283
  3700	     0.38648	     0.00269
  3750	     0.36006	     0.00254
  3800	     0.33903	     0.00242
  3850	     0.31429	     0.00225
  3900	     0.29580	     0.00218
  3950	     0.27594	     0.00204
  4000	     0.26121	     0.00194
  4050	     0.24282	     0.00184
  4100	     0.22777	     0.00175
  4150	     0.20863	     0.00163
  4200	     0.19688	     0.00156
  4250	     0.18323	     0.00148
  4300	     0.17433	     0.00143
  4350	     0.16017	     0.00132
  4400	     0.15124	     0.00128
  4450	     0.14149	     0.00122
  4500	     0.13169	     0.00114
  4550	     0.12300	     0.00109
  4600	     0.11422	     0.00101
  4650	     0.10694	     0.00097
  4700	     0.10159	     0.00093
  4750	     0.09431	     0.00089
  4800	     0.09043	     0.00086
  4850	     0.08162	     0.00078
  4900	     0.07672	     0.00076
  4950	     0.07268	     0.00072
# extra	     0.02380
==========================
