GCC - RNG
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.461085 seconds
# 216.879977 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20352.93311	   175.23871
    50	  3281.27595	    25.91990
   100	  1312.54842	     9.70546
   150	   733.95339	     5.06529
   200	   477.96718	     3.10598
   250	   340.96395	     2.09790
   300	   260.68327	     1.50937
   350	   199.50075	     1.11939
   400	   160.14332	     0.86858
   450	   132.83058	     0.69209
   500	   112.04572	     0.56099
   550	    94.57873	     0.46326
   600	    80.31510	     0.38600
   650	    69.28636	     0.32527
   700	    60.52792	     0.27791
   750	    52.77876	     0.23902
   800	    46.44747	     0.20812
   850	    41.07116	     0.18141
   900	    36.70496	     0.15977
   950	    32.67354	     0.14124
  1000	    29.42058	     0.12567
  1050	    26.54709	     0.11212
  1100	    23.91129	     0.10056
  1150	    21.54182	     0.09028
  1200	    19.44911	     0.08145
  1250	    17.69061	     0.07384
  1300	    16.09503	     0.06690
  1350	    14.68024	     0.06119
  1400	    13.35316	     0.05569
  1450	    12.08314	     0.05080
  1500	    11.03834	     0.04652
  1550	    10.20846	     0.04290
  1600	     9.26507	     0.03935
  1650	     8.44353	     0.03616
  1700	     7.81186	     0.03357
  1750	     7.20642	     0.03119
  1800	     6.57835	     0.02867
  1850	     6.01649	     0.02657
  1900	     5.57190	     0.02470
  1950	     5.11350	     0.02288
  2000	     4.72320	     0.02134
  2050	     4.40702	     0.01998
  2100	     3.99476	     0.01849
  2150	     3.74914	     0.01737
  2200	     3.43020	     0.01619
  2250	     3.17992	     0.01511
  2300	     2.96332	     0.01422
  2350	     2.73121	     0.01323
  2400	     2.51897	     0.01246
  2450	     2.34292	     0.01168
  2500	     2.16273	     0.01086
  2550	     2.02480	     0.01026
  2600	     1.86268	     0.00961
  2650	     1.75374	     0.00913
  2700	     1.62073	     0.00849
  2750	     1.50045	     0.00802
  2800	     1.39697	     0.00763
  2850	     1.30413	     0.00710
  2900	     1.20155	     0.00668
  2950	     1.12092	     0.00633
  3000	     1.03987	     0.00594
  3050	     0.96767	     0.00560
  3100	     0.90590	     0.00531
  3150	     0.84407	     0.00502
  3200	     0.78071	     0.00471
  3250	     0.72916	     0.00446
  3300	     0.68737	     0.00426
  3350	     0.63057	     0.00397
  3400	     0.59314	     0.00378
  3450	     0.53949	     0.00350
  3500	     0.51769	     0.00336
  3550	     0.47807	     0.00317
  3600	     0.44465	     0.00302
  3650	     0.42214	     0.00288
  3700	     0.39464	     0.00272
  3750	     0.36753	     0.00256
  3800	     0.34504	     0.00244
  3850	     0.32650	     0.00234
  3900	     0.29451	     0.00218
  3950	     0.28004	     0.00205
  4000	     0.25979	     0.00196
  4050	     0.24267	     0.00185
  4100	     0.22761	     0.00178
  4150	     0.21310	     0.00168
  4200	     0.19983	     0.00160
  4250	     0.18716	     0.00152
  4300	     0.17135	     0.00143
  4350	     0.16100	     0.00136
  4400	     0.15056	     0.00128
  4450	     0.14247	     0.00123
  4500	     0.13333	     0.00116
  4550	     0.12352	     0.00110
  4600	     0.11514	     0.00105
  4650	     0.10791	     0.00099
  4700	     0.10302	     0.00095
  4750	     0.09396	     0.00088
  4800	     0.08760	     0.00084
  4850	     0.08265	     0.00082
  4900	     0.07773	     0.00077
  4950	     0.07238	     0.00072
# extra	     0.02363
==========================
# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 4.565295 seconds
# 219.043911 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20321.95459	    55.38031
    50	  3279.78097	     8.19700
   100	  1334.68637	     3.09197
   150	   741.70455	     1.60874
   200	   484.26289	     0.98659
   250	   342.44277	     0.66291
   300	   257.82281	     0.47524
   350	   201.81095	     0.35606
   400	   162.36841	     0.27560
   450	   132.91809	     0.21857
   500	   111.02068	     0.17699
   550	    93.92034	     0.14576
   600	    80.62483	     0.12193
   650	    69.45886	     0.10288
   700	    60.38399	     0.08777
   750	    53.06384	     0.07568
   800	    46.87141	     0.06574
   850	    41.39966	     0.05738
   900	    36.81786	     0.05041
   950	    32.95051	     0.04462
  1000	    29.54477	     0.03963
  1050	    26.39825	     0.03531
  1100	    23.90900	     0.03169
  1150	    21.57649	     0.02847
  1200	    19.46902	     0.02568
  1250	    17.63186	     0.02323
  1300	    16.03701	     0.02110
  1350	    14.53173	     0.01919
  1400	    13.27690	     0.01752
  1450	    12.12010	     0.01603
  1500	    11.09125	     0.01470
  1550	    10.16047	     0.01351
  1600	     9.29084	     0.01243
  1650	     8.50481	     0.01145
  1700	     7.80518	     0.01057
  1750	     7.17932	     0.00979
  1800	     6.59746	     0.00907
  1850	     6.06497	     0.00841
  1900	     5.57489	     0.00780
  1950	     5.12742	     0.00724
  2000	     4.75459	     0.00676
  2050	     4.39379	     0.00629
  2100	     4.04370	     0.00587
  2150	     3.74129	     0.00547
  2200	     3.45998	     0.00513
  2250	     3.18875	     0.00478
  2300	     2.95911	     0.00448
  2350	     2.73661	     0.00419
  2400	     2.53548	     0.00393
  2450	     2.34489	     0.00368
  2500	     2.16505	     0.00344
  2550	     2.01272	     0.00324
  2600	     1.87414	     0.00304
  2650	     1.73658	     0.00286
  2700	     1.61173	     0.00269
  2750	     1.49430	     0.00253
  2800	     1.39286	     0.00238
  2850	     1.29740	     0.00224
  2900	     1.20234	     0.00211
  2950	     1.11571	     0.00199
  3000	     1.03656	     0.00187
  3050	     0.97511	     0.00178
  3100	     0.89791	     0.00167
  3150	     0.84065	     0.00158
  3200	     0.77945	     0.00148
  3250	     0.72547	     0.00140
  3300	     0.67949	     0.00133
  3350	     0.62992	     0.00125
  3400	     0.58736	     0.00118
  3450	     0.54651	     0.00112
  3500	     0.51109	     0.00106
  3550	     0.47483	     0.00100
