# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 45.542381 seconds
# 219.575697 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20598.04834	    17.48063
    50	  3318.13728	     2.57900
   100	  1348.82103	     0.97181
   150	   751.27790	     0.50717
   200	   486.86522	     0.31059
   250	   344.89843	     0.20924
   300	   258.71950	     0.15005
   350	   201.83675	     0.11247
   400	   161.95738	     0.08710
   450	   132.87664	     0.06919
   500	   110.96828	     0.05612
   550	    93.90172	     0.04626
   600	    80.37756	     0.03867
   650	    69.40553	     0.03271
   700	    60.36462	     0.02792
   750	    52.90792	     0.02406
   800	    46.62395	     0.02089
   850	    41.35553	     0.01828
   900	    36.74952	     0.01606
   950	    32.75602	     0.01420
  1000	    29.32257	     0.01261
  1050	    26.32816	     0.01125
  1100	    23.69944	     0.01008
  1150	    21.39728	     0.00906
  1200	    19.36874	     0.00818
  1250	    17.54535	     0.00740
  1300	    15.91838	     0.00672
  1350	    14.47573	     0.00612
  1400	    13.18010	     0.00558
  1450	    12.03219	     0.00510
  1500	    11.00063	     0.00467
  1550	    10.05157	     0.00429
  1600	     9.21364	     0.00394
  1650	     8.43777	     0.00363
  1700	     7.73885	     0.00335
  1750	     7.11323	     0.00310
  1800	     6.53516	     0.00286
  1850	     6.02307	     0.00265
  1900	     5.53462	     0.00246
  1950	     5.11015	     0.00229
  2000	     4.70252	     0.00213
  2050	     4.33351	     0.00198
  2100	     4.00102	     0.00185
  2150	     3.69938	     0.00173
  2200	     3.41082	     0.00161
  2250	     3.16156	     0.00151
  2300	     2.91953	     0.00141
  2350	     2.69952	     0.00132
  2400	     2.50127	     0.00124
  2450	     2.31589	     0.00116
  2500	     2.14690	     0.00109
  2550	     1.99068	     0.00102
  2600	     1.84661	     0.00096
  2650	     1.71122	     0.00090
  2700	     1.58905	     0.00085
  2750	     1.47665	     0.00080
  2800	     1.37278	     0.00075
  2850	     1.27447	     0.00071
  2900	     1.18317	     0.00066
  2950	     1.10171	     0.00063
  3000	     1.02496	     0.00059
  3050	     0.95196	     0.00056
  3100	     0.88682	     0.00053
  3150	     0.82526	     0.00050
  3200	     0.76910	     0.00047
  3250	     0.71543	     0.00044
  3300	     0.66672	     0.00042
  3350	     0.62165	     0.00040
  3400	     0.57873	     0.00037
  3450	     0.53922	     0.00035
  3500	     0.50266	     0.00033
  3550	     0.46921	     0.00032
  3600	     0.43784	     0.00030
  3650	     0.40885	     0.00028
  3700	     0.38281	     0.00027
  3750	     0.35661	     0.00025
  3800	     0.33270	     0.00024
  3850	     0.31077	     0.00023
  3900	     0.29037	     0.00022
  3950	     0.27066	     0.00020
  4000	     0.25294	     0.00019
  4050	     0.23671	     0.00018
  4100	     0.22102	     0.00017
  4150	     0.20663	     0.00017
  4200	     0.19336	     0.00016
  4250	     0.18073	     0.00015
  4300	     0.16928	     0.00014
  4350	     0.15822	     0.00013
  4400	     0.14792	     0.00013
  4450	     0.13857	     0.00012
  4500	     0.12966	     0.00011
  4550	     0.12163	     0.00011
  4600	     0.11359	     0.00010
  4650	     0.10630	     0.00010
  4700	     0.09973	     0.00009
  4750	     0.09338	     0.00009
  4800	     0.08743	     0.00008
  4850	     0.08165	     0.00008
  4900	     0.07668	     0.00008
  4950	     0.07200	     0.00007
# extra	     0.01598
