# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 4.453452 seconds
# 224.544907 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20402.61621	    55.48319
    50	  3265.73563	     8.18171
   100	  1336.34257	     3.09404
   150	   742.81142	     1.61106
   200	   480.14053	     0.98356
   250	   341.09254	     0.66205
   300	   256.58254	     0.47439
   350	   201.05767	     0.35572
   400	   161.01174	     0.27496
   450	   132.87404	     0.21862
   500	   110.70074	     0.17686
   550	    94.06460	     0.14588
   600	    80.31397	     0.12174
   650	    69.60374	     0.10304
   700	    60.62948	     0.08795
   750	    53.01070	     0.07567
   800	    46.68705	     0.06560
   850	    41.34881	     0.05733
   900	    36.93984	     0.05054
   950	    32.93530	     0.04457
  1000	    29.60018	     0.03966
  1050	    26.41026	     0.03532
  1100	    23.77804	     0.03165
  1150	    21.47430	     0.02846
  1200	    19.48550	     0.02570
  1250	    17.62181	     0.02324
  1300	    15.98072	     0.02111
  1350	    14.61560	     0.01924
  1400	    13.26257	     0.01753
  1450	    12.14622	     0.01605
  1500	    11.10320	     0.01470
  1550	    10.14690	     0.01352
  1600	     9.27831	     0.01243
  1650	     8.52438	     0.01149
  1700	     7.80244	     0.01058
  1750	     7.17436	     0.00979
  1800	     6.59277	     0.00908
  1850	     6.05986	     0.00840
  1900	     5.57019	     0.00780
  1950	     5.13118	     0.00725
  2000	     4.75151	     0.00675
  2050	     4.38534	     0.00630
  2100	     4.04121	     0.00586
  2150	     3.75433	     0.00549
  2200	     3.46096	     0.00512
  2250	     3.18536	     0.00478
  2300	     2.95651	     0.00447
  2350	     2.74594	     0.00420
  2400	     2.53542	     0.00393
  2450	     2.35050	     0.00368
  2500	     2.17850	     0.00346
  2550	     2.03056	     0.00325
  2600	     1.87960	     0.00305
  2650	     1.74608	     0.00287
  2700	     1.61258	     0.00269
  2750	     1.49881	     0.00254
  2800	     1.38622	     0.00237
  2850	     1.29767	     0.00224
  2900	     1.19701	     0.00211
  2950	     1.11757	     0.00199
  3000	     1.04104	     0.00188
  3050	     0.97057	     0.00177
  3100	     0.90052	     0.00167
  3150	     0.83838	     0.00158
  3200	     0.77974	     0.00149
  3250	     0.72624	     0.00140
  3300	     0.67884	     0.00133
  3350	     0.63036	     0.00125
  3400	     0.58790	     0.00118
  3450	     0.54660	     0.00112
  3500	     0.51311	     0.00106
  3550	     0.47836	     0.00100
  3600	     0.44657	     0.00095
  3650	     0.41399	     0.00090
  3700	     0.38791	     0.00085
  3750	     0.36244	     0.00081
  3800	     0.33791	     0.00076
  3850	     0.31677	     0.00073
  3900	     0.29559	     0.00069
  3950	     0.27667	     0.00065
  4000	     0.25797	     0.00062
  4050	     0.24071	     0.00058
  4100	     0.22330	     0.00055
  4150	     0.21028	     0.00052
  4200	     0.19617	     0.00050
  4250	     0.18323	     0.00047
  4300	     0.17183	     0.00045
  4350	     0.16114	     0.00043
  4400	     0.15083	     0.00040
  4450	     0.14053	     0.00039
  4500	     0.13177	     0.00037
  4550	     0.12279	     0.00035
  4600	     0.11555	     0.00033
  4650	     0.10799	     0.00031
  4700	     0.10098	     0.00030
  4750	     0.09450	     0.00028
  4800	     0.08925	     0.00027
  4850	     0.08341	     0.00026
  4900	     0.07823	     0.00024
  4950	     0.07296	     0.00023
# extra	     0.02226
