# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.484724 seconds
# 206.303119 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20425.01074	   175.55348
    50	  3304.01828	    26.00902
   100	  1330.43015	     9.76258
   150	   741.16707	     5.09005
   200	   483.06594	     3.11941
   250	   336.80067	     2.08496
   300	   258.36395	     1.50625
   350	   199.32691	     1.12211
   400	   162.21488	     0.87236
   450	   131.51787	     0.69042
   500	   109.42878	     0.55777
   550	    93.99618	     0.46149
   600	    80.94966	     0.38652
   650	    68.94601	     0.32497
   700	    60.64754	     0.27793
   750	    52.74077	     0.23958
   800	    46.73762	     0.20862
   850	    41.44010	     0.18191
   900	    36.35192	     0.15898
   950	    33.05095	     0.14145
  1000	    29.27933	     0.12525
  1050	    26.63544	     0.11254
  1100	    23.91313	     0.10028
  1150	    21.59205	     0.09058
  1200	    19.48852	     0.08158
  1250	    17.76588	     0.07414
  1300	    16.07432	     0.06703
  1350	    14.60853	     0.06106
  1400	    13.24970	     0.05568
  1450	    12.10412	     0.05069
  1500	    10.94165	     0.04642
  1550	    10.14629	     0.04274
  1600	     9.18971	     0.03922
  1650	     8.56446	     0.03637
  1700	     7.90959	     0.03352
  1750	     7.16113	     0.03085
  1800	     6.58325	     0.02858
  1850	     6.07284	     0.02657
  1900	     5.53093	     0.02456
  1950	     5.18713	     0.02299
  2000	     4.83074	     0.02154
  2050	     4.37365	     0.01987
  2100	     4.05535	     0.01862
  2150	     3.73396	     0.01734
  2200	     3.44733	     0.01617
  2250	     3.21646	     0.01512
  2300	     2.98800	     0.01422
  2350	     2.76390	     0.01326
  2400	     2.53275	     0.01241
  2450	     2.37555	     0.01172
  2500	     2.17086	     0.01085
  2550	     2.04053	     0.01027
  2600	     1.88350	     0.00962
  2650	     1.73345	     0.00906
  2700	     1.60550	     0.00846
  2750	     1.48935	     0.00798
  2800	     1.40062	     0.00752
  2850	     1.31122	     0.00715
  2900	     1.21254	     0.00672
  2950	     1.12112	     0.00629
  3000	     1.03906	     0.00596
  3050	     0.96934	     0.00561
  3100	     0.90037	     0.00530
  3150	     0.84294	     0.00500
  3200	     0.77761	     0.00470
  3250	     0.72715	     0.00447
  3300	     0.67265	     0.00420
  3350	     0.63470	     0.00396
  3400	     0.58637	     0.00374
  3450	     0.54779	     0.00354
  3500	     0.51078	     0.00336
  3550	     0.47606	     0.00315
  3600	     0.44917	     0.00304
  3650	     0.41186	     0.00282
  3700	     0.38439	     0.00267
  3750	     0.35035	     0.00247
  3800	     0.32968	     0.00235
  3850	     0.31324	     0.00225
  3900	     0.29417	     0.00215
  3950	     0.27457	     0.00204
  4000	     0.26070	     0.00198
  4050	     0.24185	     0.00186
  4100	     0.21935	     0.00172
  4150	     0.20763	     0.00166
  4200	     0.19779	     0.00158
  4250	     0.18224	     0.00149
  4300	     0.17345	     0.00145
  4350	     0.16202	     0.00137
  4400	     0.14967	     0.00128
  4450	     0.14041	     0.00121
  4500	     0.13148	     0.00117
  4550	     0.12313	     0.00110
  4600	     0.11524	     0.00104
  4650	     0.10534	     0.00097
  4700	     0.10086	     0.00094
  4750	     0.09370	     0.00088
  4800	     0.08913	     0.00087
  4850	     0.08339	     0.00082
  4900	     0.07782	     0.00077
  4950	     0.07366	     0.00074
# extra	     0.02355
