# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 49.782144 seconds
# 200.875236 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20616.68262	    17.48754
    50	  3317.47035	     2.57890
   100	  1348.57062	     0.97185
   150	   750.39804	     0.50703
   200	   485.58519	     0.31037
   250	   344.14643	     0.20911
   300	   258.32323	     0.15005
   350	   200.98975	     0.11237
   400	   161.57170	     0.08709
   450	   132.58071	     0.06920
   500	   110.68081	     0.05612
   550	    93.54145	     0.04625
   600	    80.17900	     0.03869
   650	    69.20985	     0.03271
   700	    60.25017	     0.02795
   750	    52.82032	     0.02408
   800	    46.54123	     0.02092
   850	    41.15381	     0.01827
   900	    36.59268	     0.01607
   950	    32.66840	     0.01421
  1000	    29.23334	     0.01262
  1050	    26.26832	     0.01126
  1100	    23.62336	     0.01009
  1150	    21.34032	     0.00907
  1200	    19.30829	     0.00819
  1250	    17.50496	     0.00741
  1300	    15.86304	     0.00672
  1350	    14.45212	     0.00612
  1400	    13.16021	     0.00558
  1450	    12.00348	     0.00511
  1500	    10.96997	     0.00468
  1550	    10.02682	     0.00429
  1600	     9.18770	     0.00395
  1650	     8.43154	     0.00364
  1700	     7.72575	     0.00335
  1750	     7.10560	     0.00310
  1800	     6.53550	     0.00287
  1850	     6.01057	     0.00266
  1900	     5.53985	     0.00247
  1950	     5.09736	     0.00229
  2000	     4.70065	     0.00213
  2050	     4.33942	     0.00199
  2100	     4.00230	     0.00185
  2150	     3.69443	     0.00173
  2200	     3.41718	     0.00161
  2250	     3.15824	     0.00151
  2300	     2.92458	     0.00141
  2350	     2.70676	     0.00132
  2400	     2.50745	     0.00124
  2450	     2.32219	     0.00116
  2500	     2.15290	     0.00109
  2550	     1.99639	     0.00102
  2600	     1.85151	     0.00096
  2650	     1.71862	     0.00090
  2700	     1.59716	     0.00085
  2750	     1.48419	     0.00080
  2800	     1.37783	     0.00075
  2850	     1.28009	     0.00071
  2900	     1.19184	     0.00067
  2950	     1.10810	     0.00063
  3000	     1.03187	     0.00059
  3050	     0.95816	     0.00056
  3100	     0.89235	     0.00053
  3150	     0.83097	     0.00050
  3200	     0.77357	     0.00047
  3250	     0.71960	     0.00044
  3300	     0.67094	     0.00042
  3350	     0.62608	     0.00040
  3400	     0.58308	     0.00037
  3450	     0.54461	     0.00035
  3500	     0.50726	     0.00034
  3550	     0.47347	     0.00032
  3600	     0.44230	     0.00030
  3650	     0.41281	     0.00028
  3700	     0.38477	     0.00027
  3750	     0.35975	     0.00025
  3800	     0.33577	     0.00024
  3850	     0.31371	     0.00023
  3900	     0.29279	     0.00022
  3950	     0.27409	     0.00021
  4000	     0.25599	     0.00020
  4050	     0.23899	     0.00018
  4100	     0.22348	     0.00018
  4150	     0.20917	     0.00017
  4200	     0.19549	     0.00016
  4250	     0.18296	     0.00015
  4300	     0.17087	     0.00014
  4350	     0.15975	     0.00013
  4400	     0.14928	     0.00013
  4450	     0.13998	     0.00012
  4500	     0.13093	     0.00012
  4550	     0.12265	     0.00011
  4600	     0.11473	     0.00010
  4650	     0.10731	     0.00010
  4700	     0.10061	     0.00009
  4750	     0.09442	     0.00009
  4800	     0.08836	     0.00008
  4850	     0.08275	     0.00008
  4900	     0.07761	     0.00008
  4950	     0.07272	     0.00007
# extra	     0.01603
