# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 5.510128 seconds
# 181.483983 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20316.31934	    55.38345
    50	  3274.55859	     8.19072
   100	  1327.94932	     3.08555
   150	   741.79743	     1.60985
   200	   481.38310	     0.98486
   250	   341.00101	     0.66231
   300	   257.09706	     0.47517
   350	   200.62998	     0.35583
   400	   160.71186	     0.27490
   450	   132.38749	     0.21844
   500	   110.88996	     0.17723
   550	    93.59668	     0.14592
   600	    79.85911	     0.12171
   650	    69.43568	     0.10311
   700	    60.38807	     0.08798
   750	    52.61273	     0.07565
   800	    46.73629	     0.06587
   850	    41.37647	     0.05755
   900	    36.73604	     0.05051
   950	    32.78007	     0.04465
  1000	    29.44823	     0.03970
  1050	    26.32217	     0.03530
  1100	    23.83573	     0.03175
  1150	    21.36189	     0.02846
  1200	    19.47005	     0.02572
  1250	    17.58436	     0.02326
  1300	    16.02299	     0.02113
  1350	    14.56977	     0.01923
  1400	    13.21432	     0.01752
  1450	    12.12053	     0.01610
  1500	    11.07095	     0.01473
  1550	    10.12472	     0.01354
  1600	     9.25055	     0.01243
  1650	     8.48344	     0.01147
  1700	     7.78028	     0.01057
  1750	     7.17382	     0.00981
  1800	     6.57910	     0.00906
  1850	     6.05270	     0.00842
  1900	     5.57411	     0.00782
  1950	     5.14187	     0.00727
  2000	     4.72929	     0.00675
  2050	     4.37566	     0.00629
  2100	     4.02730	     0.00586
  2150	     3.73250	     0.00548
  2200	     3.45693	     0.00511
  2250	     3.20700	     0.00480
  2300	     2.95942	     0.00448
  2350	     2.74016	     0.00419
  2400	     2.54045	     0.00393
  2450	     2.35884	     0.00369
  2500	     2.18598	     0.00346
  2550	     2.03431	     0.00325
  2600	     1.88552	     0.00305
  2650	     1.73761	     0.00286
  2700	     1.62405	     0.00269
  2750	     1.50435	     0.00253
  2800	     1.40796	     0.00239
  2850	     1.30132	     0.00225
  2900	     1.21558	     0.00212
  2950	     1.12761	     0.00200
  3000	     1.04820	     0.00189
  3050	     0.97522	     0.00177
  3100	     0.90918	     0.00167
  3150	     0.84025	     0.00157
  3200	     0.78415	     0.00149
  3250	     0.73271	     0.00141
  3300	     0.68019	     0.00133
  3350	     0.63765	     0.00126
  3400	     0.59399	     0.00119
  3450	     0.55454	     0.00113
  3500	     0.51495	     0.00106
  3550	     0.48021	     0.00101
  3600	     0.44962	     0.00095
  3650	     0.41915	     0.00090
  3700	     0.39348	     0.00086
  3750	     0.36565	     0.00081
  3800	     0.34124	     0.00077
  3850	     0.31793	     0.00072
  3900	     0.29866	     0.00069
  3950	     0.27830	     0.00065
  4000	     0.26115	     0.00062
  4050	     0.24277	     0.00059
  4100	     0.22710	     0.00055
  4150	     0.21168	     0.00053
  4200	     0.19821	     0.00050
  4250	     0.18541	     0.00047
  4300	     0.17343	     0.00045
  4350	     0.16181	     0.00043
  4400	     0.15076	     0.00040
  4450	     0.14154	     0.00038
  4500	     0.13303	     0.00036
  4550	     0.12470	     0.00035
  4600	     0.11703	     0.00033
  4650	     0.10863	     0.00031
  4700	     0.10241	     0.00030
  4750	     0.09526	     0.00028
  4800	     0.08978	     0.00027
  4850	     0.08402	     0.00026
  4900	     0.07825	     0.00024
  4950	     0.07358	     0.00023
# extra	     0.02241
