# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.583848 seconds
# 171.277456 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20613.53906	   176.24339
    50	  3315.48821	    26.06079
   100	  1344.20539	     9.80630
   150	   751.29841	     5.11528
   200	   478.34290	     3.11128
   250	   342.96503	     2.10131
   300	   257.82600	     1.50214
   350	   198.34894	     1.12078
   400	   160.53702	     0.86874
   450	   131.84962	     0.69036
   500	   111.33622	     0.56150
   550	    94.05325	     0.46252
   600	    79.75551	     0.38558
   650	    69.32679	     0.32602
   700	    60.50925	     0.27874
   750	    53.17694	     0.24026
   800	    46.64941	     0.20814
   850	    41.26004	     0.18136
   900	    36.83007	     0.15962
   950	    32.37830	     0.14090
  1000	    29.40769	     0.12582
  1050	    26.42241	     0.11227
  1100	    23.70954	     0.10033
  1150	    21.62252	     0.09078
  1200	    19.41282	     0.08102
  1250	    17.43456	     0.07350
  1300	    15.89071	     0.06668
  1350	    14.33565	     0.06049
  1400	    13.23623	     0.05544
  1450	    12.11017	     0.05082
  1500	    11.15375	     0.04667
  1550	    10.15991	     0.04297
  1600	     9.24740	     0.03936
  1650	     8.48966	     0.03633
  1700	     7.80747	     0.03353
  1750	     7.13411	     0.03099
  1800	     6.59568	     0.02890
  1850	     5.95176	     0.02643
  1900	     5.57626	     0.02465
  1950	     5.18028	     0.02309
  2000	     4.75179	     0.02138
  2050	     4.34605	     0.01990
  2100	     4.03103	     0.01849
  2150	     3.73971	     0.01737
  2200	     3.46692	     0.01614
  2250	     3.18035	     0.01509
  2300	     2.93100	     0.01410
  2350	     2.72250	     0.01323
  2400	     2.55642	     0.01247
  2450	     2.36079	     0.01168
  2500	     2.16205	     0.01084
  2550	     2.01088	     0.01023
  2600	     1.88450	     0.00965
  2650	     1.73526	     0.00905
  2700	     1.60838	     0.00845
  2750	     1.50037	     0.00802
  2800	     1.38065	     0.00750
  2850	     1.29526	     0.00713
  2900	     1.21956	     0.00672
  2950	     1.12214	     0.00630
  3000	     1.05487	     0.00600
  3050	     0.98274	     0.00566
  3100	     0.90663	     0.00530
  3150	     0.84899	     0.00502
  3200	     0.78894	     0.00474
  3250	     0.73620	     0.00446
  3300	     0.68736	     0.00422
  3350	     0.63351	     0.00395
  3400	     0.59452	     0.00377
  3450	     0.55747	     0.00356
  3500	     0.51691	     0.00336
  3550	     0.48085	     0.00316
  3600	     0.45142	     0.00302
  3650	     0.42185	     0.00288
  3700	     0.39263	     0.00271
  3750	     0.37110	     0.00258
  3800	     0.34231	     0.00244
  3850	     0.32102	     0.00233
  3900	     0.29754	     0.00219
  3950	     0.27835	     0.00205
  4000	     0.26194	     0.00196
  4050	     0.24108	     0.00184
  4100	     0.22790	     0.00176
  4150	     0.21063	     0.00165
  4200	     0.19663	     0.00156
  4250	     0.18504	     0.00150
  4300	     0.17181	     0.00141
  4350	     0.16397	     0.00136
  4400	     0.14888	     0.00126
  4450	     0.13773	     0.00118
  4500	     0.13208	     0.00115
  4550	     0.12332	     0.00109
  4600	     0.11522	     0.00103
  4650	     0.10925	     0.00098
  4700	     0.10107	     0.00093
  4750	     0.09591	     0.00091
  4800	     0.08925	     0.00086
  4850	     0.08247	     0.00079
  4900	     0.07896	     0.00077
  4950	     0.07471	     0.00073
# extra	     0.02381
