# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 48.148088 seconds
# 207.692568 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20634.48779	    17.49289
    50	  3324.06173	     2.58078
   100	  1351.17943	     0.97254
   150	   751.30229	     0.50718
   200	   486.82973	     0.31057
   250	   344.97012	     0.20923
   300	   258.68259	     0.15005
   350	   201.88626	     0.11248
   400	   161.71789	     0.08705
   450	   133.00831	     0.06922
   500	   110.99734	     0.05612
   550	    93.95443	     0.04627
   600	    80.32211	     0.03866
   650	    69.46575	     0.03271
   700	    60.44365	     0.02793
   750	    53.00766	     0.02407
   800	    46.66961	     0.02090
   850	    41.27035	     0.01826
   900	    36.69320	     0.01606
   950	    32.77909	     0.01420
  1000	    29.34235	     0.01261
  1050	    26.30421	     0.01124
  1100	    23.71673	     0.01008
  1150	    21.40129	     0.00906
  1200	    19.35927	     0.00818
  1250	    17.54059	     0.00740
  1300	    15.93664	     0.00672
  1350	    14.47761	     0.00612
  1400	    13.20318	     0.00558
  1450	    12.03844	     0.00510
  1500	    11.01198	     0.00467
  1550	    10.05563	     0.00429
  1600	     9.20719	     0.00394
  1650	     8.44035	     0.00363
  1700	     7.74190	     0.00335
  1750	     7.10777	     0.00310
  1800	     6.53704	     0.00286
  1850	     6.01449	     0.00265
  1900	     5.53802	     0.00246
  1950	     5.10061	     0.00229
  2000	     4.69901	     0.00213
  2050	     4.33128	     0.00198
  2100	     4.00045	     0.00185
  2150	     3.68971	     0.00172
  2200	     3.41508	     0.00161
  2250	     3.15368	     0.00151
  2300	     2.91783	     0.00141
  2350	     2.70308	     0.00132
  2400	     2.50083	     0.00124
  2450	     2.31485	     0.00116
  2500	     2.14403	     0.00109
  2550	     1.98955	     0.00102
  2600	     1.84684	     0.00096
  2650	     1.71392	     0.00090
  2700	     1.58979	     0.00085
  2750	     1.47546	     0.00080
  2800	     1.37132	     0.00075
  2850	     1.27300	     0.00071
  2900	     1.18561	     0.00067
  2950	     1.10128	     0.00063
  3000	     1.02463	     0.00059
  3050	     0.95260	     0.00056
  3100	     0.88552	     0.00053
  3150	     0.82442	     0.00050
  3200	     0.76792	     0.00047
  3250	     0.71549	     0.00044
  3300	     0.66579	     0.00042
  3350	     0.62130	     0.00040
  3400	     0.57876	     0.00037
  3450	     0.53985	     0.00035
  3500	     0.50280	     0.00033
  3550	     0.46954	     0.00032
  3600	     0.43805	     0.00030
  3650	     0.40868	     0.00028
  3700	     0.38211	     0.00027
  3750	     0.35608	     0.00025
  3800	     0.33269	     0.00024
  3850	     0.31056	     0.00023
  3900	     0.28990	     0.00022
  3950	     0.27100	     0.00021
  4000	     0.25302	     0.00019
  4050	     0.23630	     0.00018
  4100	     0.22099	     0.00017
  4150	     0.20650	     0.00017
  4200	     0.19307	     0.00016
  4250	     0.18096	     0.00015
  4300	     0.16895	     0.00014
  4350	     0.15801	     0.00013
  4400	     0.14802	     0.00013
  4450	     0.13846	     0.00012
  4500	     0.12995	     0.00012
  4550	     0.12135	     0.00011
  4600	     0.11363	     0.00010
  4650	     0.10642	     0.00010
  4700	     0.09940	     0.00009
  4750	     0.09306	     0.00009
  4800	     0.08733	     0.00008
  4850	     0.08183	     0.00008
  4900	     0.07666	     0.00008
  4950	     0.07172	     0.00007
# extra	     0.01596
