# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 4.591824 seconds
# 217.778388 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20342.54883	    55.41162
    50	  3295.15597	     8.21223
   100	  1330.12531	     3.08590
   150	   744.31664	     1.61113
   200	   483.14552	     0.98571
   250	   343.02253	     0.66335
   300	   257.21657	     0.47475
   350	   201.47099	     0.35580
   400	   161.76554	     0.27518
   450	   132.75784	     0.21847
   500	   110.84112	     0.17695
   550	    94.14224	     0.14597
   600	    80.51523	     0.12188
   650	    69.51557	     0.10292
   700	    60.44066	     0.08786
   750	    52.87102	     0.07562
   800	    46.73149	     0.06566
   850	    41.40705	     0.05738
   900	    36.89137	     0.05052
   950	    32.93020	     0.04461
  1000	    29.48755	     0.03964
  1050	    26.50393	     0.03535
  1100	    23.92471	     0.03169
  1150	    21.54090	     0.02847
  1200	    19.51303	     0.02569
  1250	    17.63243	     0.02322
  1300	    16.06955	     0.02112
  1350	    14.55499	     0.01919
  1400	    13.25023	     0.01752
  1450	    12.10414	     0.01604
  1500	    11.09976	     0.01471
  1550	    10.14799	     0.01352
  1600	     9.31513	     0.01244
  1650	     8.51415	     0.01147
  1700	     7.81820	     0.01059
  1750	     7.16552	     0.00978
  1800	     6.60152	     0.00907
  1850	     6.07549	     0.00841
  1900	     5.58094	     0.00779
  1950	     5.14253	     0.00725
  2000	     4.75311	     0.00674
  2050	     4.37565	     0.00629
  2100	     4.04679	     0.00587
  2150	     3.72950	     0.00547
  2200	     3.45746	     0.00512
  2250	     3.17682	     0.00476
  2300	     2.95840	     0.00447
  2350	     2.73741	     0.00418
  2400	     2.53244	     0.00392
  2450	     2.34523	     0.00367
  2500	     2.16896	     0.00344
  2550	     2.02029	     0.00324
  2600	     1.87164	     0.00304
  2650	     1.73468	     0.00286
  2700	     1.61320	     0.00269
  2750	     1.50271	     0.00253
  2800	     1.39332	     0.00238
  2850	     1.29650	     0.00224
  2900	     1.20473	     0.00211
  2950	     1.11352	     0.00198
  3000	     1.03832	     0.00188
  3050	     0.96284	     0.00176
  3100	     0.89867	     0.00167
  3150	     0.83383	     0.00157
  3200	     0.78212	     0.00149
  3250	     0.72777	     0.00141
  3300	     0.67695	     0.00133
  3350	     0.63046	     0.00125
  3400	     0.58812	     0.00119
  3450	     0.54902	     0.00112
  3500	     0.51149	     0.00106
  3550	     0.47639	     0.00100
  3600	     0.44564	     0.00095
  3650	     0.41419	     0.00090
  3700	     0.38639	     0.00085
  3750	     0.36143	     0.00080
  3800	     0.33802	     0.00076
  3850	     0.31547	     0.00072
  3900	     0.29352	     0.00068
  3950	     0.27700	     0.00065
  4000	     0.25783	     0.00062
  4050	     0.24001	     0.00059
  4100	     0.22489	     0.00055
  4150	     0.20958	     0.00052
  4200	     0.19631	     0.00050
  4250	     0.18475	     0.00047
  4300	     0.17131	     0.00045
  4350	     0.16053	     0.00042
  4400	     0.15039	     0.00041
  4450	     0.14026	     0.00038
  4500	     0.13087	     0.00036
  4550	     0.12253	     0.00035
  4600	     0.11467	     0.00033
  4650	     0.10763	     0.00031
  4700	     0.10102	     0.00030
  4750	     0.09349	     0.00028
  4800	     0.08808	     0.00027
  4850	     0.08240	     0.00025
  4900	     0.07731	     0.00024
  4950	     0.07216	     0.00023
# extra	     0.02213
