# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.476355 seconds
# 209.927302 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20518.28174	   175.87525
    50	  3303.24149	    25.99448
   100	  1331.00252	     9.76421
   150	   750.02993	     5.11586
   200	   482.15097	     3.11674
   250	   343.72900	     2.10021
   300	   257.99271	     1.50370
   350	   198.21805	     1.11910
   400	   162.98616	     0.87354
   450	   132.71897	     0.69035
   500	   109.59985	     0.55808
   550	    94.02373	     0.46125
   600	    80.76731	     0.38651
   650	    69.86176	     0.32677
   700	    60.77955	     0.27879
   750	    52.45738	     0.23916
   800	    46.53008	     0.20734
   850	    41.36661	     0.18126
   900	    36.93527	     0.15986
   950	    33.26933	     0.14220
  1000	    29.84774	     0.12592
  1050	    26.20590	     0.11182
  1100	    23.84290	     0.10039
  1150	    21.45181	     0.09018
  1200	    19.29538	     0.08115
  1250	    17.67981	     0.07365
  1300	    16.12071	     0.06682
  1350	    14.63825	     0.06098
  1400	    13.28661	     0.05537
  1450	    12.04170	     0.05063
  1500	    10.94549	     0.04639
  1550	    10.18364	     0.04287
  1600	     9.25849	     0.03933
  1650	     8.52434	     0.03634
  1700	     7.82143	     0.03352
  1750	     7.19505	     0.03119
  1800	     6.61536	     0.02862
  1850	     6.07020	     0.02663
  1900	     5.52132	     0.02457
  1950	     5.20083	     0.02318
  2000	     4.73355	     0.02141
  2050	     4.40235	     0.01996
  2100	     4.05667	     0.01858
  2150	     3.71674	     0.01722
  2200	     3.45437	     0.01614
  2250	     3.20208	     0.01511
  2300	     2.95563	     0.01415
  2350	     2.70837	     0.01314
  2400	     2.51487	     0.01234
  2450	     2.33042	     0.01163
  2500	     2.16054	     0.01087
  2550	     2.01938	     0.01023
  2600	     1.86534	     0.00961
  2650	     1.75923	     0.00907
  2700	     1.61367	     0.00854
  2750	     1.48761	     0.00796
  2800	     1.37396	     0.00746
  2850	     1.27641	     0.00699
  2900	     1.20351	     0.00665
  2950	     1.11699	     0.00630
  3000	     1.03912	     0.00590
  3050	     0.97262	     0.00559
  3100	     0.88248	     0.00522
  3150	     0.83866	     0.00497
  3200	     0.78134	     0.00473
  3250	     0.72967	     0.00445
  3300	     0.67518	     0.00417
  3350	     0.63269	     0.00397
  3400	     0.59275	     0.00377
  3450	     0.55289	     0.00356
  3500	     0.52055	     0.00338
  3550	     0.48300	     0.00318
  3600	     0.43760	     0.00295
  3650	     0.41134	     0.00282
  3700	     0.39364	     0.00270
  3750	     0.36213	     0.00254
  3800	     0.34256	     0.00244
  3850	     0.31762	     0.00229
  3900	     0.29337	     0.00217
  3950	     0.27385	     0.00205
  4000	     0.25355	     0.00191
  4050	     0.23656	     0.00182
  4100	     0.22528	     0.00175
  4150	     0.21107	     0.00166
  4200	     0.19572	     0.00157
  4250	     0.18289	     0.00149
  4300	     0.17090	     0.00141
  4350	     0.16032	     0.00136
  4400	     0.14964	     0.00127
  4450	     0.14174	     0.00121
  4500	     0.13448	     0.00118
  4550	     0.12367	     0.00108
  4600	     0.11779	     0.00105
  4650	     0.10779	     0.00099
  4700	     0.10067	     0.00094
  4750	     0.09322	     0.00087
  4800	     0.08707	     0.00084
  4850	     0.08330	     0.00080
  4900	     0.07784	     0.00076
  4950	     0.07067	     0.00071
# extra	     0.02355
