# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 37.499354 seconds
# 266.671262 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20596.24805	    17.48115
    50	  3315.75586	     2.57852
   100	  1349.19002	     0.97197
   150	   750.04640	     0.50695
   200	   485.55771	     0.31036
   250	   344.26796	     0.20914
   300	   258.03225	     0.14997
   350	   201.17268	     0.11239
   400	   161.35737	     0.08704
   450	   132.70960	     0.06922
   500	   110.81314	     0.05614
   550	    93.63097	     0.04626
   600	    80.22147	     0.03869
   650	    69.24138	     0.03272
   700	    60.28037	     0.02795
   750	    52.78255	     0.02407
   800	    46.48333	     0.02090
   850	    41.15201	     0.01828
   900	    36.56556	     0.01607
   950	    32.64952	     0.01421
  1000	    29.25974	     0.01262
  1050	    26.27103	     0.01126
  1100	    23.62375	     0.01009
  1150	    21.32614	     0.00907
  1200	    19.28402	     0.00819
  1250	    17.47985	     0.00741
  1300	    15.87361	     0.00673
  1350	    14.42919	     0.00612
  1400	    13.14831	     0.00558
  1450	    12.01380	     0.00511
  1500	    10.97257	     0.00468
  1550	    10.03951	     0.00429
  1600	     9.19095	     0.00395
  1650	     8.43090	     0.00364
  1700	     7.73664	     0.00336
  1750	     7.09562	     0.00310
  1800	     6.53037	     0.00287
  1850	     6.01504	     0.00266
  1900	     5.54206	     0.00247
  1950	     5.10414	     0.00229
  2000	     4.70274	     0.00213
  2050	     4.33545	     0.00198
  2100	     4.00442	     0.00185
  2150	     3.69831	     0.00173
  2200	     3.41889	     0.00161
  2250	     3.16152	     0.00151
  2300	     2.92598	     0.00141
  2350	     2.70534	     0.00132
  2400	     2.50487	     0.00124
  2450	     2.32257	     0.00116
  2500	     2.15359	     0.00109
  2550	     1.99688	     0.00102
  2600	     1.85297	     0.00096
  2650	     1.71838	     0.00090
  2700	     1.59639	     0.00085
  2750	     1.48286	     0.00080
  2800	     1.37852	     0.00075
  2850	     1.28166	     0.00071
  2900	     1.19044	     0.00067
  2950	     1.10731	     0.00063
  3000	     1.03084	     0.00059
  3050	     0.95881	     0.00056
  3100	     0.89287	     0.00053
  3150	     0.83071	     0.00050
  3200	     0.77419	     0.00047
  3250	     0.72097	     0.00044
  3300	     0.67029	     0.00042
  3350	     0.62553	     0.00040
  3400	     0.58458	     0.00038
  3450	     0.54485	     0.00035
  3500	     0.50751	     0.00033
  3550	     0.47389	     0.00032
  3600	     0.44159	     0.00030
  3650	     0.41243	     0.00028
  3700	     0.38554	     0.00027
  3750	     0.35984	     0.00026
  3800	     0.33583	     0.00024
  3850	     0.31344	     0.00023
  3900	     0.29259	     0.00022
  3950	     0.27333	     0.00021
  4000	     0.25566	     0.00020
  4050	     0.23869	     0.00018
  4100	     0.22301	     0.00017
  4150	     0.20854	     0.00017
  4200	     0.19520	     0.00016
  4250	     0.18255	     0.00015
  4300	     0.17042	     0.00014
  4350	     0.15960	     0.00013
  4400	     0.14927	     0.00013
  4450	     0.13962	     0.00012
  4500	     0.13089	     0.00012
  4550	     0.12245	     0.00011
  4600	     0.11497	     0.00010
  4650	     0.10733	     0.00010
  4700	     0.10063	     0.00009
  4750	     0.09416	     0.00009
  4800	     0.08841	     0.00008
  4850	     0.08278	     0.00008
  4900	     0.07746	     0.00008
  4950	     0.07257	     0.00007
# extra	     0.01605
