# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 3.737852 seconds
# 267.533316 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20322.83496	    55.38288
    50	  3285.94148	     8.20345
   100	  1334.48052	     3.09124
   150	   739.43365	     1.60764
   200	   483.82185	     0.98681
   250	   342.03084	     0.66318
   300	   257.04684	     0.47507
   350	   200.66721	     0.35572
   400	   160.51427	     0.27478
   450	   132.26222	     0.21834
   500	   110.91753	     0.17711
   550	    93.95407	     0.14602
   600	    80.60215	     0.12205
   650	    69.17036	     0.10287
   700	    60.41410	     0.08795
   750	    52.87864	     0.07571
   800	    46.50478	     0.06568
   850	    41.17263	     0.05736
   900	    36.68439	     0.05047
   950	    32.82852	     0.04465
  1000	    29.29278	     0.03963
  1050	    26.29644	     0.03530
  1100	    23.77376	     0.03166
  1150	    21.46372	     0.02851
  1200	    19.46855	     0.02574
  1250	    17.63882	     0.02328
  1300	    15.98598	     0.02112
  1350	    14.53823	     0.01924
  1400	    13.28550	     0.01757
  1450	    12.13042	     0.01606
  1500	    11.04647	     0.01471
  1550	    10.12537	     0.01352
  1600	     9.27341	     0.01244
  1650	     8.48225	     0.01145
  1700	     7.78250	     0.01058
  1750	     7.17675	     0.00981
  1800	     6.58711	     0.00907
  1850	     6.06953	     0.00842
  1900	     5.58394	     0.00782
  1950	     5.16438	     0.00728
  2000	     4.75865	     0.00677
  2050	     4.37024	     0.00628
  2100	     4.05273	     0.00587
  2150	     3.73106	     0.00546
  2200	     3.45374	     0.00512
  2250	     3.20209	     0.00479
  2300	     2.96680	     0.00448
  2350	     2.73583	     0.00419
  2400	     2.54107	     0.00393
  2450	     2.35787	     0.00369
  2500	     2.17543	     0.00344
  2550	     2.02213	     0.00324
  2600	     1.87797	     0.00304
  2650	     1.75169	     0.00287
  2700	     1.62345	     0.00270
  2750	     1.50448	     0.00253
  2800	     1.39728	     0.00239
  2850	     1.30060	     0.00225
  2900	     1.20663	     0.00212
  2950	     1.12453	     0.00199
  3000	     1.04365	     0.00188
  3050	     0.97014	     0.00177
  3100	     0.90321	     0.00167
  3150	     0.84202	     0.00158
  3200	     0.78270	     0.00149
  3250	     0.72851	     0.00140
  3300	     0.68039	     0.00133
  3350	     0.63640	     0.00126
  3400	     0.59458	     0.00119
  3450	     0.55352	     0.00112
  3500	     0.51630	     0.00106
  3550	     0.48341	     0.00101
  3600	     0.44834	     0.00095
  3650	     0.41987	     0.00090
  3700	     0.39228	     0.00085
  3750	     0.36403	     0.00081
  3800	     0.34104	     0.00077
  3850	     0.31665	     0.00072
  3900	     0.29697	     0.00069
  3950	     0.27744	     0.00065
  4000	     0.25923	     0.00062
  4050	     0.24172	     0.00058
  4100	     0.22700	     0.00056
  4150	     0.21151	     0.00052
  4200	     0.19904	     0.00050
  4250	     0.18478	     0.00047
  4300	     0.17338	     0.00045
  4350	     0.16262	     0.00043
  4400	     0.15206	     0.00041
  4450	     0.14106	     0.00038
  4500	     0.13219	     0.00036
  4550	     0.12372	     0.00035
  4600	     0.11547	     0.00033
  4650	     0.10833	     0.00031
  4700	     0.10162	     0.00030
  4750	     0.09526	     0.00028
  4800	     0.08928	     0.00027
  4850	     0.08305	     0.00025
  4900	     0.07891	     0.00024
  4950	     0.07339	     0.00023
# extra	     0.02235
