# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.381158 seconds
# 262.358204 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20311.94092	   175.16007
    50	  3291.35721	    25.96137
   100	  1316.32155	     9.72459
   150	   736.42620	     5.07734
   200	   485.63091	     3.12467
   250	   343.53809	     2.10004
   300	   254.22253	     1.49543
   350	   200.36726	     1.12616
   400	   160.85340	     0.87071
   450	   133.51086	     0.69403
   500	   111.21551	     0.56153
   550	    95.08400	     0.46411
   600	    80.16897	     0.38592
   650	    68.56316	     0.32501
   700	    60.47230	     0.27849
   750	    53.18332	     0.24033
   800	    46.29723	     0.20699
   850	    41.30963	     0.18170
   900	    36.06352	     0.15903
   950	    32.40852	     0.14072
  1000	    29.36953	     0.12574
  1050	    26.33805	     0.11217
  1100	    23.65087	     0.10028
  1150	    21.27389	     0.09005
  1200	    19.32444	     0.08131
  1250	    17.40533	     0.07370
  1300	    15.81247	     0.06685
  1350	    14.44409	     0.06084
  1400	    13.34687	     0.05585
  1450	    12.21402	     0.05113
  1500	    11.07166	     0.04662
  1550	    10.25935	     0.04315
  1600	     9.22769	     0.03933
  1650	     8.51673	     0.03635
  1700	     7.86376	     0.03364
  1750	     7.20747	     0.03117
  1800	     6.63702	     0.02878
  1850	     6.02818	     0.02653
  1900	     5.56789	     0.02464
  1950	     5.18657	     0.02304
  2000	     4.72359	     0.02126
  2050	     4.40554	     0.01998
  2100	     4.10170	     0.01868
  2150	     3.71432	     0.01723
  2200	     3.46423	     0.01616
  2250	     3.19779	     0.01518
  2300	     2.94492	     0.01411
  2350	     2.73353	     0.01325
  2400	     2.51653	     0.01238
  2450	     2.35330	     0.01164
  2500	     2.18967	     0.01095
  2550	     2.03473	     0.01035
  2600	     1.87715	     0.00966
  2650	     1.73344	     0.00903
  2700	     1.62025	     0.00856
  2750	     1.51609	     0.00806
  2800	     1.40994	     0.00762
  2850	     1.28778	     0.00712
  2900	     1.20944	     0.00672
  2950	     1.13197	     0.00638
  3000	     1.05169	     0.00598
  3050	     0.96657	     0.00561
  3100	     0.90884	     0.00531
  3150	     0.84060	     0.00501
  3200	     0.78517	     0.00472
  3250	     0.73250	     0.00447
  3300	     0.68120	     0.00420
  3350	     0.64044	     0.00402
  3400	     0.59134	     0.00378
  3450	     0.54882	     0.00355
  3500	     0.51539	     0.00335
  3550	     0.47323	     0.00316
  3600	     0.44575	     0.00301
  3650	     0.42296	     0.00287
  3700	     0.39047	     0.00268
  3750	     0.36913	     0.00258
  3800	     0.34739	     0.00246
  3850	     0.31933	     0.00231
  3900	     0.29760	     0.00217
  3950	     0.27478	     0.00203
  4000	     0.25875	     0.00194
  4050	     0.24065	     0.00185
  4100	     0.22428	     0.00173
  4150	     0.20982	     0.00166
  4200	     0.20002	     0.00160
  4250	     0.18734	     0.00154
  4300	     0.17434	     0.00142
  4350	     0.16233	     0.00134
  4400	     0.15354	     0.00128
  4450	     0.14314	     0.00121
  4500	     0.13452	     0.00115
  4550	     0.12473	     0.00110
  4600	     0.11608	     0.00104
  4650	     0.10793	     0.00098
  4700	     0.10315	     0.00096
  4750	     0.09675	     0.00091
  4800	     0.09104	     0.00087
  4850	     0.08439	     0.00081
  4900	     0.07923	     0.00077
  4950	     0.07409	     0.00073
# extra	     0.02387
