# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 44.375400 seconds
# 225.350080 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20647.58789	    17.49708
    50	  3321.76193	     2.57991
   100	  1350.06769	     0.97211
   150	   750.70740	     0.50702
   200	   486.51798	     0.31053
   250	   344.66904	     0.20914
   300	   258.49650	     0.14999
   350	   201.83262	     0.11245
   400	   162.10149	     0.08713
   450	   133.06258	     0.06923
   500	   110.97180	     0.05612
   550	    93.98238	     0.04627
   600	    80.41307	     0.03868
   650	    69.50360	     0.03271
   700	    60.48539	     0.02795
   750	    52.92165	     0.02407
   800	    46.63011	     0.02090
   850	    41.30257	     0.01826
   900	    36.70388	     0.01605
   950	    32.74757	     0.01419
  1000	    29.34976	     0.01261
  1050	    26.32902	     0.01125
  1100	    23.71595	     0.01008
  1150	    21.41921	     0.00907
  1200	    19.32354	     0.00817
  1250	    17.53857	     0.00740
  1300	    15.92716	     0.00672
  1350	    14.47771	     0.00612
  1400	    13.18996	     0.00558
  1450	    12.04143	     0.00510
  1500	    10.99584	     0.00467
  1550	    10.04820	     0.00429
  1600	     9.20061	     0.00394
  1650	     8.43871	     0.00363
  1700	     7.75052	     0.00335
  1750	     7.11493	     0.00310
  1800	     6.53834	     0.00286
  1850	     6.02254	     0.00266
  1900	     5.54154	     0.00246
  1950	     5.10741	     0.00229
  2000	     4.70411	     0.00213
  2050	     4.33249	     0.00198
  2100	     4.00206	     0.00185
  2150	     3.69341	     0.00172
  2200	     3.41148	     0.00161
  2250	     3.15701	     0.00151
  2300	     2.91301	     0.00141
  2350	     2.69999	     0.00132
  2400	     2.50053	     0.00124
  2450	     2.31543	     0.00116
  2500	     2.14711	     0.00109
  2550	     1.99090	     0.00102
  2600	     1.84013	     0.00096
  2650	     1.71172	     0.00090
  2700	     1.59089	     0.00085
  2750	     1.47469	     0.00080
  2800	     1.37200	     0.00075
  2850	     1.27545	     0.00071
  2900	     1.18441	     0.00067
  2950	     1.10137	     0.00063
  3000	     1.02444	     0.00059
  3050	     0.95257	     0.00056
  3100	     0.88639	     0.00053
  3150	     0.82527	     0.00050
  3200	     0.76720	     0.00047
  3250	     0.71506	     0.00044
  3300	     0.66644	     0.00042
  3350	     0.62084	     0.00040
  3400	     0.57953	     0.00037
  3450	     0.53876	     0.00035
  3500	     0.50384	     0.00033
  3550	     0.46920	     0.00032
  3600	     0.43735	     0.00030
  3650	     0.40907	     0.00028
  3700	     0.38148	     0.00027
  3750	     0.35633	     0.00025
  3800	     0.33335	     0.00024
  3850	     0.31069	     0.00023
  3900	     0.29045	     0.00022
  3950	     0.27038	     0.00020
  4000	     0.25302	     0.00019
  4050	     0.23661	     0.00018
  4100	     0.22065	     0.00017
  4150	     0.20678	     0.00017
  4200	     0.19332	     0.00016
  4250	     0.18083	     0.00015
  4300	     0.16880	     0.00014
  4350	     0.15769	     0.00013
  4400	     0.14766	     0.00013
  4450	     0.13835	     0.00012
  4500	     0.12948	     0.00011
  4550	     0.12147	     0.00011
  4600	     0.11347	     0.00010
  4650	     0.10646	     0.00010
  4700	     0.09966	     0.00009
  4750	     0.09333	     0.00009
  4800	     0.08744	     0.00008
  4850	     0.08179	     0.00008
  4900	     0.07672	     0.00008
  4950	     0.07188	     0.00007
# extra	     0.01596
