# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 4.465903 seconds
# 223.918885 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20452.91016	    55.54070
    50	  3285.81801	     8.20225
   100	  1334.38646	     3.09057
   150	   745.15802	     1.61235
   200	   481.58976	     0.98452
   250	   343.90465	     0.66409
   300	   257.17953	     0.47491
   350	   200.68892	     0.35551
   400	   160.89618	     0.27488
   450	   132.74013	     0.21843
   500	   110.41958	     0.17673
   550	    93.76621	     0.14576
   600	    80.05312	     0.12163
   650	    69.47486	     0.10293
   700	    60.50188	     0.08788
   750	    53.01273	     0.07569
   800	    46.65180	     0.06563
   850	    41.24799	     0.05731
   900	    36.94943	     0.05052
   950	    32.87913	     0.04459
  1000	    29.44851	     0.03960
  1050	    26.41902	     0.03535
  1100	    23.89351	     0.03167
  1150	    21.51208	     0.02849
  1200	    19.41789	     0.02565
  1250	    17.65742	     0.02325
  1300	    16.08961	     0.02113
  1350	    14.60308	     0.01923
  1400	    13.29862	     0.01754
  1450	    12.14299	     0.01605
  1500	    11.07516	     0.01472
  1550	    10.14333	     0.01351
  1600	     9.28337	     0.01245
  1650	     8.55044	     0.01148
  1700	     7.79198	     0.01057
  1750	     7.19880	     0.00981
  1800	     6.59029	     0.00906
  1850	     6.06858	     0.00840
  1900	     5.57969	     0.00780
  1950	     5.14437	     0.00726
  2000	     4.74323	     0.00675
  2050	     4.38871	     0.00630
  2100	     4.05278	     0.00587
  2150	     3.73630	     0.00548
  2200	     3.44779	     0.00511
  2250	     3.19309	     0.00479
  2300	     2.95395	     0.00448
  2350	     2.72821	     0.00418
  2400	     2.52713	     0.00392
  2450	     2.34556	     0.00367
  2500	     2.16887	     0.00345
  2550	     2.01912	     0.00324
  2600	     1.86945	     0.00304
  2650	     1.73348	     0.00286
  2700	     1.60946	     0.00269
  2750	     1.50583	     0.00254
  2800	     1.39376	     0.00238
  2850	     1.29600	     0.00225
  2900	     1.20593	     0.00212
  2950	     1.11982	     0.00199
  3000	     1.03865	     0.00187
  3050	     0.96832	     0.00177
  3100	     0.90356	     0.00167
  3150	     0.83783	     0.00158
  3200	     0.78257	     0.00149
  3250	     0.72858	     0.00141
  3300	     0.67878	     0.00133
  3350	     0.63178	     0.00126
  3400	     0.59058	     0.00119
  3450	     0.54694	     0.00112
  3500	     0.51194	     0.00106
  3550	     0.47741	     0.00100
  3600	     0.44527	     0.00095
  3650	     0.41537	     0.00089
  3700	     0.38824	     0.00085
  3750	     0.36347	     0.00081
  3800	     0.33965	     0.00077
  3850	     0.31683	     0.00073
  3900	     0.29517	     0.00069
  3950	     0.27448	     0.00065
  4000	     0.25617	     0.00061
  4050	     0.24138	     0.00059
  4100	     0.22480	     0.00055
  4150	     0.21056	     0.00052
  4200	     0.19640	     0.00050
  4250	     0.18385	     0.00047
  4300	     0.17258	     0.00045
  4350	     0.16084	     0.00043
  4400	     0.15021	     0.00040
  4450	     0.14054	     0.00038
  4500	     0.13125	     0.00036
  4550	     0.12306	     0.00035
  4600	     0.11515	     0.00033
  4650	     0.10752	     0.00031
  4700	     0.10117	     0.00030
  4750	     0.09433	     0.00028
  4800	     0.08891	     0.00027
  4850	     0.08280	     0.00025
  4900	     0.07808	     0.00024
  4950	     0.07275	     0.00023
# extra	     0.02229
