# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.490031 seconds
# 204.068670 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20593.16895	   176.16529
    50	  3283.13086	    25.94660
   100	  1319.23813	     9.73537
   150	   734.65517	     5.07856
   200	   475.79566	     3.10089
   250	   341.69866	     2.09914
   300	   253.00786	     1.49303
   350	   201.87556	     1.12895
   400	   160.86377	     0.86941
   450	   132.30697	     0.69139
   500	   111.11196	     0.55938
   550	    94.25352	     0.46174
   600	    80.20836	     0.38564
   650	    69.74443	     0.32583
   700	    61.21400	     0.27906
   750	    53.46976	     0.24052
   800	    47.31466	     0.20888
   850	    41.30939	     0.18139
   900	    36.32881	     0.15881
   950	    32.86670	     0.14109
  1000	    29.68927	     0.12581
  1050	    26.25416	     0.11172
  1100	    23.98760	     0.10038
  1150	    21.71046	     0.09043
  1200	    19.55520	     0.08141
  1250	    17.71614	     0.07384
  1300	    16.24832	     0.06740
  1350	    14.61013	     0.06092
  1400	    13.35945	     0.05571
  1450	    12.14287	     0.05080
  1500	    11.10915	     0.04655
  1550	    10.26794	     0.04302
  1600	     9.26461	     0.03932
  1650	     8.58386	     0.03631
  1700	     7.93341	     0.03375
  1750	     7.18589	     0.03104
  1800	     6.66615	     0.02890
  1850	     6.06391	     0.02651
  1900	     5.55227	     0.02463
  1950	     5.13164	     0.02286
  2000	     4.74081	     0.02122
  2050	     4.41305	     0.01994
  2100	     4.03313	     0.01855
  2150	     3.70924	     0.01719
  2200	     3.43788	     0.01612
  2250	     3.17188	     0.01507
  2300	     2.91467	     0.01401
  2350	     2.71735	     0.01313
  2400	     2.51823	     0.01235
  2450	     2.34198	     0.01163
  2500	     2.18224	     0.01095
  2550	     1.99884	     0.01018
  2600	     1.84425	     0.00951
  2650	     1.73061	     0.00901
  2700	     1.59153	     0.00842
  2750	     1.48932	     0.00796
  2800	     1.38442	     0.00748
  2850	     1.28810	     0.00706
  2900	     1.18969	     0.00659
  2950	     1.12841	     0.00635
  3000	     1.04325	     0.00596
  3050	     0.96491	     0.00556
  3100	     0.90235	     0.00528
  3150	     0.82382	     0.00493
  3200	     0.78708	     0.00472
  3250	     0.72069	     0.00443
  3300	     0.68129	     0.00419
  3350	     0.63220	     0.00397
  3400	     0.58364	     0.00374
  3450	     0.55033	     0.00355
  3500	     0.50809	     0.00335
  3550	     0.47423	     0.00317
  3600	     0.44528	     0.00299
  3650	     0.41301	     0.00282
  3700	     0.38126	     0.00266
  3750	     0.36065	     0.00254
  3800	     0.34172	     0.00243
  3850	     0.31235	     0.00226
  3900	     0.29436	     0.00218
  3950	     0.27626	     0.00206
  4000	     0.25286	     0.00194
  4050	     0.23495	     0.00183
  4100	     0.22112	     0.00172
  4150	     0.20635	     0.00162
  4200	     0.19384	     0.00157
  4250	     0.17973	     0.00149
  4300	     0.17066	     0.00143
  4350	     0.16031	     0.00135
  4400	     0.15352	     0.00130
  4450	     0.14303	     0.00124
  4500	     0.13240	     0.00117
  4550	     0.12382	     0.00111
  4600	     0.11557	     0.00105
  4650	     0.10814	     0.00099
  4700	     0.10128	     0.00095
  4750	     0.09498	     0.00091
  4800	     0.08893	     0.00086
  4850	     0.08219	     0.00080
  4900	     0.07773	     0.00076
  4950	     0.07380	     0.00073
# extra	     0.02347
