# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 35.484829 seconds
# 281.810572 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20590.55566	    17.47897
    50	  3321.26263	     2.58005
   100	  1348.33008	     0.97181
   150	   749.20281	     0.50674
   200	   485.25336	     0.31031
   250	   343.90443	     0.20906
   300	   258.13216	     0.14999
   350	   201.44637	     0.11247
   400	   161.90116	     0.08715
   450	   132.67655	     0.06922
   500	   110.82758	     0.05613
   550	    93.71577	     0.04628
   600	    80.15986	     0.03867
   650	    69.26838	     0.03272
   700	    60.24300	     0.02795
   750	    52.78663	     0.02407
   800	    46.49660	     0.02091
   850	    41.16507	     0.01827
   900	    36.56947	     0.01606
   950	    32.62155	     0.01420
  1000	    29.22040	     0.01262
  1050	    26.24154	     0.01126
  1100	    23.65612	     0.01009
  1150	    21.31920	     0.00907
  1200	    19.29004	     0.00819
  1250	    17.47944	     0.00741
  1300	    15.86823	     0.00673
  1350	    14.43910	     0.00612
  1400	    13.16438	     0.00559
  1450	    11.99471	     0.00510
  1500	    10.96547	     0.00468
  1550	    10.03231	     0.00429
  1600	     9.18198	     0.00395
  1650	     8.42416	     0.00364
  1700	     7.73272	     0.00335
  1750	     7.09775	     0.00310
  1800	     6.52199	     0.00287
  1850	     6.00263	     0.00266
  1900	     5.53679	     0.00247
  1950	     5.09818	     0.00229
  2000	     4.69936	     0.00213
  2050	     4.33274	     0.00198
  2100	     4.00177	     0.00185
  2150	     3.69457	     0.00173
  2200	     3.41557	     0.00161
  2250	     3.16085	     0.00151
  2300	     2.92338	     0.00141
  2350	     2.70790	     0.00132
  2400	     2.50748	     0.00124
  2450	     2.32161	     0.00116
  2500	     2.15059	     0.00109
  2550	     1.99745	     0.00102
  2600	     1.85302	     0.00096
  2650	     1.72168	     0.00090
  2700	     1.59720	     0.00085
  2750	     1.48539	     0.00080
  2800	     1.37694	     0.00075
  2850	     1.28221	     0.00071
  2900	     1.19219	     0.00067
  2950	     1.10930	     0.00063
  3000	     1.03198	     0.00059
  3050	     0.95965	     0.00056
  3100	     0.89253	     0.00053
  3150	     0.83067	     0.00050
  3200	     0.77496	     0.00047
  3250	     0.72192	     0.00044
  3300	     0.67130	     0.00042
  3350	     0.62521	     0.00040
  3400	     0.58384	     0.00037
  3450	     0.54379	     0.00035
  3500	     0.50736	     0.00034
  3550	     0.47353	     0.00032
  3600	     0.44243	     0.00030
  3650	     0.41273	     0.00028
  3700	     0.38608	     0.00027
  3750	     0.35989	     0.00025
  3800	     0.33605	     0.00024
  3850	     0.31381	     0.00023
  3900	     0.29351	     0.00022
  3950	     0.27436	     0.00021
  4000	     0.25575	     0.00020
  4050	     0.23925	     0.00019
  4100	     0.22360	     0.00018
  4150	     0.20915	     0.00017
  4200	     0.19554	     0.00016
  4250	     0.18287	     0.00015
  4300	     0.17072	     0.00014
  4350	     0.15997	     0.00013
  4400	     0.14965	     0.00013
  4450	     0.13986	     0.00012
  4500	     0.13094	     0.00012
  4550	     0.12292	     0.00011
  4600	     0.11475	     0.00010
  4650	     0.10772	     0.00010
  4700	     0.10080	     0.00009
  4750	     0.09429	     0.00009
  4800	     0.08834	     0.00008
  4850	     0.08299	     0.00008
  4900	     0.07748	     0.00008
  4950	     0.07274	     0.00007
# extra	     0.01605
