# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1000000
#
# 3.584126 seconds
# 279.008039 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20435.09912	    55.52010
    50	  3279.54304	     8.19702
   100	  1333.62181	     3.09055
   150	   743.14675	     1.61058
   200	   483.03991	     0.98649
   250	   342.03216	     0.66271
   300	   257.53277	     0.47534
   350	   201.01238	     0.35567
   400	   161.60754	     0.27529
   450	   132.45852	     0.21849
   500	   110.32798	     0.17687
   550	    93.91741	     0.14585
   600	    80.25575	     0.12186
   650	    69.32355	     0.10291
   700	    60.26402	     0.08791
   750	    52.71896	     0.07559
   800	    46.60623	     0.06572
   850	    41.18919	     0.05742
   900	    36.59900	     0.05041
   950	    32.82813	     0.04466
  1000	    29.43104	     0.03967
  1050	    26.39015	     0.03536
  1100	    23.73958	     0.03166
  1150	    21.44118	     0.02851
  1200	    19.35950	     0.02567
  1250	    17.55661	     0.02325
  1300	    16.02166	     0.02113
  1350	    14.49101	     0.01922
  1400	    13.21486	     0.01753
  1450	    12.05737	     0.01603
  1500	    11.04427	     0.01471
  1550	    10.10024	     0.01352
  1600	     9.25451	     0.01243
  1650	     8.48529	     0.01146
  1700	     7.80836	     0.01061
  1750	     7.16438	     0.00979
  1800	     6.56934	     0.00907
  1850	     6.04664	     0.00841
  1900	     5.58146	     0.00781
  1950	     5.15022	     0.00726
  2000	     4.73669	     0.00675
  2050	     4.36956	     0.00629
  2100	     4.03946	     0.00587
  2150	     3.73618	     0.00547
  2200	     3.45842	     0.00513
  2250	     3.17835	     0.00477
  2300	     2.95631	     0.00448
  2350	     2.74542	     0.00420
  2400	     2.53902	     0.00394
  2450	     2.34601	     0.00368
  2500	     2.19227	     0.00347
  2550	     2.02229	     0.00324
  2600	     1.87976	     0.00305
  2650	     1.74869	     0.00287
  2700	     1.62513	     0.00270
  2750	     1.50928	     0.00254
  2800	     1.40383	     0.00239
  2850	     1.30038	     0.00225
  2900	     1.20773	     0.00212
  2950	     1.12604	     0.00200
  3000	     1.04638	     0.00188
  3050	     0.97341	     0.00178
  3100	     0.90477	     0.00168
  3150	     0.84421	     0.00158
  3200	     0.78832	     0.00149
  3250	     0.73340	     0.00141
  3300	     0.68129	     0.00133
  3350	     0.63691	     0.00126
  3400	     0.59674	     0.00120
  3450	     0.55361	     0.00112
  3500	     0.51666	     0.00107
  3550	     0.48282	     0.00101
  3600	     0.44987	     0.00096
  3650	     0.41887	     0.00091
  3700	     0.39111	     0.00086
  3750	     0.36432	     0.00081
  3800	     0.34143	     0.00077
  3850	     0.31924	     0.00073
  3900	     0.29753	     0.00069
  3950	     0.27761	     0.00065
  4000	     0.26011	     0.00062
  4050	     0.24232	     0.00059
  4100	     0.22727	     0.00056
  4150	     0.21158	     0.00053
  4200	     0.19795	     0.00050
  4250	     0.18647	     0.00048
  4300	     0.17364	     0.00045
  4350	     0.16279	     0.00043
  4400	     0.15155	     0.00041
  4450	     0.14228	     0.00039
  4500	     0.13398	     0.00037
  4550	     0.12453	     0.00035
  4600	     0.11719	     0.00033
  4650	     0.10912	     0.00031
  4700	     0.10244	     0.00030
  4750	     0.09484	     0.00028
  4800	     0.08999	     0.00027
  4850	     0.08407	     0.00026
  4900	     0.07889	     0.00024
  4950	     0.07322	     0.00023
# extra	     0.02249
