# (https://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =   100000
#
# 0.357854 seconds
# 279.443601 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20649.27100	   176.35306
    50	  3253.73751	    25.83031
   100	  1337.29765	     9.78900
   150	   748.03275	     5.11135
   200	   482.38438	     3.11547
   250	   347.93007	     2.11200
   300	   256.11201	     1.50353
   350	   202.36135	     1.12782
   400	   161.92098	     0.87155
   450	   130.40785	     0.68648
   500	   109.79153	     0.55734
   550	    94.41689	     0.46346
   600	    80.35500	     0.38549
   650	    69.16623	     0.32550
   700	    60.37967	     0.27774
   750	    52.69727	     0.23961
   800	    46.48138	     0.20829
   850	    41.28025	     0.18155
   900	    36.42756	     0.15952
   950	    32.75790	     0.14145
  1000	    29.27679	     0.12549
  1050	    26.10824	     0.11186
  1100	    23.93264	     0.10093
  1150	    21.42700	     0.09063
  1200	    19.25742	     0.08137
  1250	    17.64314	     0.07390
  1300	    16.06408	     0.06716
  1350	    14.68250	     0.06109
  1400	    13.29803	     0.05553
  1450	    12.01545	     0.05073
  1500	    10.96299	     0.04651
  1550	    10.03451	     0.04263
  1600	     9.19540	     0.03913
  1650	     8.44714	     0.03626
  1700	     7.74630	     0.03346
  1750	     7.12401	     0.03096
  1800	     6.56515	     0.02864
  1850	     6.06970	     0.02663
  1900	     5.57861	     0.02467
  1950	     5.13188	     0.02297
  2000	     4.76707	     0.02138
  2050	     4.35667	     0.01990
  2100	     4.03591	     0.01852
  2150	     3.74285	     0.01737
  2200	     3.49164	     0.01629
  2250	     3.18373	     0.01514
  2300	     2.93783	     0.01411
  2350	     2.72630	     0.01323
  2400	     2.54210	     0.01248
  2450	     2.33626	     0.01162
  2500	     2.16178	     0.01091
  2550	     2.02517	     0.01025
  2600	     1.87945	     0.00966
  2650	     1.74179	     0.00908
  2700	     1.60868	     0.00850
  2750	     1.50525	     0.00800
  2800	     1.40361	     0.00758
  2850	     1.28868	     0.00710
  2900	     1.20301	     0.00672
  2950	     1.11959	     0.00632
  3000	     1.05600	     0.00601
  3050	     0.96703	     0.00558
  3100	     0.90172	     0.00525
  3150	     0.85176	     0.00505
  3200	     0.79313	     0.00473
  3250	     0.73698	     0.00448
  3300	     0.67974	     0.00419
  3350	     0.64061	     0.00401
  3400	     0.59470	     0.00376
  3450	     0.56041	     0.00358
  3500	     0.52446	     0.00336
  3550	     0.48789	     0.00317
  3600	     0.44981	     0.00300
  3650	     0.42459	     0.00288
  3700	     0.39113	     0.00270
  3750	     0.36997	     0.00259
  3800	     0.34004	     0.00242
  3850	     0.31625	     0.00227
  3900	     0.29699	     0.00216
  3950	     0.28115	     0.00210
  4000	     0.26228	     0.00198
  4050	     0.24285	     0.00185
  4100	     0.22941	     0.00177
  4150	     0.21328	     0.00167
  4200	     0.19833	     0.00159
  4250	     0.18785	     0.00153
  4300	     0.17269	     0.00143
  4350	     0.16141	     0.00136
  4400	     0.15157	     0.00128
  4450	     0.14209	     0.00122
  4500	     0.13422	     0.00116
  4550	     0.12591	     0.00112
  4600	     0.11669	     0.00104
  4650	     0.11098	     0.00101
  4700	     0.10250	     0.00094
  4750	     0.09362	     0.00088
  4800	     0.08961	     0.00085
  4850	     0.08320	     0.00079
  4900	     0.07760	     0.00075
  4950	     0.07299	     0.00072
# extra	     0.02392
